lat_bin,time,total_area,n_stations,mid_lat,mid_lon
lat_36_44990,1984-02-15,,15874,36.9879730149721,-122.195630231672
lat_36_44990,1984-05-15,699797,15874,36.9879730149721,-122.195630231672
lat_36_44990,1984-08-15,2361402,15874,36.9879730149721,-122.195630231672
lat_36_44990,1984-11-15,1324941,15874,36.9879730149721,-122.195630231672
lat_36_44990,1985-02-15,23346,15874,36.9879730149721,-122.195630231672
lat_36_44990,1985-05-15,2001348,15874,36.9879730149721,-122.195630231672
lat_36_44990,1985-08-15,2213248,15874,36.9879730149721,-122.195630231672
lat_36_44990,1985-11-15,1602133,15874,36.9879730149721,-122.195630231672
lat_36_44990,1986-02-15,36367,15874,36.9879730149721,-122.195630231672
lat_36_44990,1986-05-15,400949,15874,36.9879730149721,-122.195630231672
lat_36_44990,1986-08-15,2044616,15874,36.9879730149721,-122.195630231672
lat_36_44990,1986-11-15,1229308,15874,36.9879730149721,-122.195630231672
lat_36_44990,1987-02-15,185903,15874,36.9879730149721,-122.195630231672
lat_36_44990,1987-05-15,567347,15874,36.9879730149721,-122.195630231672
lat_36_44990,1987-08-15,3424171,15874,36.9879730149721,-122.195630231672
lat_36_44990,1987-11-15,1475005,15874,36.9879730149721,-122.195630231672
lat_36_44990,1988-02-15,472654,15874,36.9879730149721,-122.195630231672
lat_36_44990,1988-05-15,2420093,15874,36.9879730149721,-122.195630231672
lat_36_44990,1988-08-15,3860629,15874,36.9879730149721,-122.195630231672
lat_36_44990,1988-11-15,951871,15874,36.9879730149721,-122.195630231672
lat_36_44990,1989-02-15,413854,15874,36.9879730149721,-122.195630231672
lat_36_44990,1989-05-15,2809505,15874,36.9879730149721,-122.195630231672
lat_36_44990,1989-08-15,3138331,15874,36.9879730149721,-122.195630231672
lat_36_44990,1989-11-15,559977,15874,36.9879730149721,-122.195630231672
lat_36_44990,1990-02-15,4483,15874,36.9879730149721,-122.195630231672
lat_36_44990,1990-05-15,1731255,15874,36.9879730149721,-122.195630231672
