"","lat_36_00000","lat_36_00450","lat_36_00900","lat_36_01350","lat_36_01800","lat_36_02250","lat_36_02700","lat_36_03150","lat_36_03600","lat_36_04050","lat_36_04500","lat_36_05849","lat_36_06299","lat_36_06749","lat_36_07199","lat_36_07649","lat_36_08099","lat_36_08549","lat_36_08999","lat_36_09449","lat_36_09899","lat_36_10349","lat_36_10799","lat_36_11249","lat_36_11698","lat_36_12148","lat_36_12598","lat_36_13048","lat_36_13498","lat_36_13948","lat_36_14398","lat_36_14848","lat_36_15298","lat_36_15748","lat_36_16198","lat_36_16648","lat_36_17098","lat_36_17547","lat_36_17997","lat_36_18447","lat_36_19347","lat_36_19797","lat_36_20247","lat_36_20697","lat_36_21147","lat_36_21597","lat_36_22047"
"lat_36_00000",0,2.60136275255,3.79842440698633,4.68304817180114,5.93003874735711,6.90418968963124,7.24500364022219,7.57860839275484,8.03741751572617,8.49794728456933,9.21777049980076,10.2984453259271,10.7981231929647,11.6829467668821,12.3459071482957,12.8614153611804,13.5262052479945,13.9208685569984,14.5979513282173,14.9884025224096,15.4288479733672,15.8987100979637,16.453604176787,16.9307547710584,17.6292246144473,18.3810728225062,18.9894272167676,19.5879011410175,20.1667184821203,20.6549367264052,21.3141065264306,21.9947989361178,22.6244311616491,23.2447378390208,23.9345766146497,24.7542091529243,25.7131873468139,26.1487659722303,26.8865252177136,27.5008367936172,29.2024829981387,30.463873184049,30.9118097299959,31.9139459778461,32.8468576900526,33.8335080740447,34.7473607176172
"lat_36_00450",2.60136275255,0,1.2082144524473,2.11630218986695,3.36476193576494,4.3510345137866,4.73091934278035,5.11019406745699,5.60776826794426,6.09909888967197,6.86528895437933,8.09057184867721,8.586980782461,9.44953096960532,10.1189213258419,10.6565780435924,11.3263110414296,11.7377168286201,12.4477681154171,12.8541641919696,13.3222130130365,13.8117843226974,14.3803411507381,14.8752175531905,15.5683700651291,16.309992429134,16.9227523928861,17.5266004053818,18.11210501732,18.6154314930807,19.2732724606107,19.9507937032527,20.5818102893686,21.2042596849186,21.8904691406346,22.6951149867963,23.6404193488529,24.0747452507642,24.8165660448802,25.4269053070873,27.1119962651838,28.3452258872939,28.7954107303954,29.7805118431927,30.7001998359691,31.6730058150393,32.577327307036
"lat_36_00900",3.79842440698633,1.2082144524473,0,0.916880247020657,2.15965238973621,3.14803846216567,3.54296968490571,3.94310372082331,4.45761408167982,4.96147548686404,5.74602125872683,7.03637169338685,7.52696416049556,8.37265701312432,9.04150342540976,9.58699600713246,10.2560013128813,10.6734336690437,11.3958131841166,11.8079464551035,12.2868570188491,12.7836176617365,13.3563762353202,13.8576090077457,14.546197906111,15.2812023950808,15.8943461728889,16.4991132864263,17.0862231625497,17.5950379615173,18.2509662231459,18.9258489565168,19.5563529952652,20.1786898163131,20.8623033124821,21.6595111125576,22.5979251218917,23.0312252375291,23.7738970998423,24.3819612451205,26.0587243261199,27.2796546960079,27.7304089593089,28.708090962277,29.6220258177204,30.5889069967024,31.48909462608
"lat_36_01350",4.68304817180114,2.11630218986695,0.916880247020657,0,1.24981621772652,2.23473240200673,2.62659285121056,3.0341035159952,3.55669355413174,4.06666314943421,4.86036450619716,6.18937379082518,6.67451575771436,7.50741497274419,8.17475762754832,8.72417559576029,9.39180103730905,9.81232312076854,10.5412680980317,10.9563990754702,11.4413943590183,11.942007687001,12.5167251831804,13.0213516644428,13.7064812482772,14.4368726949292,15.0497912161116,15.6546904164657,16.2423769376948,16.7541415061968,17.4085539345258,18.0815247589759,18.7114215869361,19.3334100335982,20.0152293534246,20.8078656152618,21.742072282588,22.1746677683861,22.91760513272,23.5242403376364,25.1960363934168,26.4101344920182,26.861114631796,27.8347583386484,28.7456087828919,29.7093776032094,30.6074122385784
"lat_36_01800",5.93003874735711,3.36476193576494,2.15965238973621,1.24981621772652,0,0.989735887897623,1.4243166557653,1.88467720331306,2.43558248797281,2.96021113580267,3.77318473358171,5.19235245921666,5.65857798935098,6.45284335703746,7.11254119834707,7.66882498668338,8.33025268433594,8.75647445585946,9.49795589621067,9.91845617525906,10.4153507346717,10.922797674535,11.5000854857692,12.0105584391141,12.6867934770437,13.4059726786811,14.0173038655938,14.6214730733067,15.2094572901037,15.7265800805421,16.3769822110719,17.045186392881,17.6731216734724,18.2937424290697,18.971220985893,19.7537464681584,20.6785016784984,21.1093278153754,21.8523332974565,22.4556235756117,24.1161256084306,25.3151580180766,25.7664468380736,26.7310139069332,27.6348235118517,28.591422309138,29.4844028796398
"lat_36_02250",6.90418968963124,4.3510345137866,3.14803846216567,2.23473240200673,0.989735887897623,0,0.523444518360781,1.03729085374389,1.58947657183755,2.10855750333613,2.9197658444106,4.40099005772573,4.84330752626287,5.59598606272038,6.24499278918339,6.80397394147888,7.45748820438402,7.88659402715868,8.63532646978865,9.05866525710099,9.56327363053798,10.0745500398396,10.652308778198,11.1660091868597,11.8341045563995,12.5436554460965,13.1528603568182,13.7556373540528,14.3430716779945,14.8634376383667,15.5102139458899,16.1743307533791,16.8002933643258,17.4194206212291,18.0933250569009,18.8682777160302,19.7859856371046,20.2153740502001,20.9580516978251,21.5587968168269,23.2110738281649,24.3998218805299,24.8511820510557,25.8096441387166,26.7087671641674,27.6606692293707,28.5503534762799
"lat_36_02700",7.24500364022219,4.73091934278035,3.54296968490571,2.62659285121056,1.4243166557653,0.523444518360781,0,0.514277172601,1.06652034498323,1.58741840994955,2.40046955019967,3.87762785467525,4.32118330614455,5.07980123905007,5.73145564566222,6.29004706535631,6.94572079669989,7.37423415766598,8.12146975431076,8.54429030586598,9.04745160536003,9.55811639941294,10.135886105552,10.6491009362324,11.3187635463961,12.0304086569445,12.6401674126311,13.2433334893778,13.8309558988967,14.3506167886166,14.9982921383532,15.6634664093936,16.2899809127757,16.9095428751098,17.5844627949191,18.3616851848154,19.2817269861619,19.7116299575429,20.4544557615776,21.0561278982224,22.7116018633752,23.904842291057,24.3561819363295,25.3176350308158,26.2192433489078,27.1738173218046,28.0654991850396
"lat_36_03150",7.57860839275484,5.11019406745699,3.94310372082331,3.0341035159952,1.88467720331306,1.03729085374389,0.514277172601,0,0.558254376385017,1.0835340543631,1.89876409957459,3.36508567606896,3.81204668149622,4.5809234072568,5.23630088581306,5.79404535805672,6.45258529556013,6.88009514581685,7.62497786177277,8.04696004774749,8.54794040386899,9.05763748043365,9.63534914762965,10.1477996025271,10.8196412286577,11.5341161453575,12.1445613346855,12.7481899735214,13.3360081029686,13.8546788613946,14.5035029009097,15.1700201606105,15.7972082928128,16.4172899391292,17.0934715856502,17.8735264435503,18.7964250788113,19.2269361311422,19.9698947528201,20.5726705535557,22.2319385440938,23.4304946836924,23.8817811954756,24.8467166409616,25.7511882438836,26.7088200868198,27.6027642143762
"lat_36_03600",8.03741751572617,5.60776826794426,4.45761408167982,3.55669355413174,2.43558248797281,1.58947657183755,1.06652034498323,0.558254376385017,0,0.525880551817172,1.3410673219455,2.81194998312645,3.25502060799347,4.02335876823581,4.67977922304779,5.23717062801526,5.89663142545376,6.32373163736974,7.06782127247512,7.48956129356851,7.99005681574705,8.49959334826886,9.07729047940383,9.5896482348407,10.2617898070393,10.9768823948683,11.5874995157927,12.1912456892597,12.7791082056815,13.2974957785536,13.9466276152961,14.6135416081178,15.2409364827737,15.8611807034403,16.537791532756,17.3189169994706,18.2430063433325,18.6737778538697,19.4167779959649,20.0200430509769,21.6810983124458,22.8824054559538,23.333649873856,24.3004973774674,25.2065978026716,26.1660232095876,27.0613210656162
"lat_36_04050",8.49794728456933,6.09909888967197,4.96147548686404,4.06666314943421,2.96021113580267,2.10855750333613,1.58741840994955,1.0835340543631,0.525880551817172,0,0.81526475917835,2.30090765604722,2.73513349963123,3.4975339149681,4.15398179900692,4.71130585965253,5.3709835509172,5.7979574828142,6.5419413334888,6.96370479400211,7.46441165291534,7.97412362140618,8.55184179408496,9.06437839752398,9.73612041207921,10.4510077494703,11.0616189904812,11.6653684124452,12.2532333512762,12.7716183406362,13.4207541045746,14.087719763453,14.7151564299949,15.3354390566206,16.0121729055698,16.7937017868777,17.7183439435121,18.1492453417621,18.8922624467805,19.4957810740623,21.1578361952639,22.3608462734838,22.8120584291982,23.7801609498963,24.6873647208812,25.6480355813987,26.5442883264421
