"","year","sst","anom"
"1",1986.00273972603,12.77,0.394146341463413
"2",1986.16712328767,13.5,1.12414634146341
"3",1986.33150684932,10.67,-1.39820512820513
"4",1986.49589041096,12.45,0.268536585365855
"5",1986.6602739726,13.35,-0.645897435897437
"6",1986.82465753425,14.43,-0.149487179487179
"7",1986.98904109589,14.22,1.16475
"8",1987.15342465753,11.81,-0.565853658536586
"9",1987.31780821918,11.55,-0.518205128205128
"10",1987.48219178082,11.47,-0.711463414634146
"11",1987.64657534247,16.04,2.04410256410256
"12",1987.81095890411,15.7,1.12051282051282
"13",1987.97534246575,12.59,-0.465250000000001
"14",1988.1397260274,11.52,-0.855853658536587
"15",1988.30410958904,11.81,-0.258205128205129
"16",1988.46849315068,12.23,0.0485365853658539
"17",1988.63287671233,14.19,0.194102564102563
"18",1988.79726027397,13.79,-0.789487179487178
"19",1988.96164383562,11.55,-1.50525
"20",1989.12328767123,10.88,-1.49585365853659
"21",1989.28767123288,12.34,0.271794871794871
"22",1989.45205479452,12.42,0.238536585365853
"23",1989.61643835616,13.79,-0.205897435897436
"24",1989.78082191781,14.62,0.0405128205128218
"25",1989.94520547945,13.47,0.41475
"26",1990.1095890411,11.73,-0.645853658536586
"27",1990.27397260274,12.07,0.00179487179487126
"28",1990.43835616438,11.69,-0.491463414634147
"29",1990.60273972603,14.87,0.874102564102564
"30",1990.76712328767,14.53,-0.0494871794871781
"31",1990.93150684932,12.07,-0.985250000000001
"32",1991.09589041096,11.89,-0.485853658536586
"33",1991.2602739726,11.54,-0.528205128205128
"34",1991.42465753425,11.32,-0.861463414634146
"35",1991.58904109589,13.73,-0.265897435897436
"36",1991.75342465753,14.82,0.240512820512821
"37",1991.91780821918,11.13,-1.92525
"38",1992.08219178082,13.05,0.674146341463414
"39",1992.24657534247,14.48,2.41179487179487
"40",1992.41095890411,13.7,1.51853658536585
"41",1992.57534246575,14.59,0.594102564102563
"42",1992.7397260274,14.5,-0.0794871794871792
"43",1992.90410958904,14.06,1.00475
"44",1993.06575342466,13.18,0.804146341463413
"45",1993.2301369863,13.68,1.61179487179487
"46",1993.39452054795,13.12,0.938536585365854
"47",1993.55890410959,12.87,-1.12589743589744
"48",1993.72328767123,15.02,0.44051282051282
"49",1993.88767123288,14.65,1.59475
"50",1994.05205479452,13.08,0.704146341463414
"51",1994.21643835616,12.45,0.381794871794872
"52",1994.38082191781,12.22,0.0385365853658541
"53",1994.54520547945,13.51,-0.485897435897437
"54",1994.7095890411,13.49,-1.08948717948718
"55",1994.87397260274,12.52,-0.535250000000001
"56",1995.03835616438,12.33,-0.0458536585365863
"57",1995.20273972603,13.54,1.47179487179487
"58",1995.36712328767,11.42,-0.761463414634147
"59",1995.53150684932,13.75,-0.245897435897437
"60",1995.69589041096,13.68,-0.899487179487179
"61",1995.8602739726,12.95,-0.10525
"62",1996.02465753425,13.01,0.634146341463413
"63",1996.18904109589,13.36,1.29179487179487
"64",1996.35342465753,11.09,-1.09146341463415
"65",1996.51780821918,11.47,-2.52589743589744
"66",1996.68219178082,13.12,-1.45948717948718
"67",1996.84657534247,12.25,-0.805250000000001
"68",1997.00821917808,12.69,0.314146341463413
"69",1997.17260273973,10.04,-2.02820512820513
"70",1997.33698630137,11.38,-0.801463414634146
"71",1997.50136986301,12.1,-0.0814634146341469
"72",1997.66575342466,16.74,2.74410256410257
"73",1997.8301369863,16.16,1.58051282051282
"74",1997.99452054795,14.88,1.82475
"75",1998.15890410959,13.47,1.09414634146341
"76",1998.32328767123,12.38,0.311794871794872
"77",1998.48767123288,13.44,1.25853658536585
"78",1998.65205479452,14.53,0.534102564102565
"79",1998.81643835616,13.54,-1.03948717948718
"80",1998.98082191781,10.61,-2.44525
"81",1999.14520547945,11.09,-1.28585365853659
"82",1999.3095890411,9.78,-2.28820512820513
"83",1999.47397260274,11.78,-0.401463414634147
"84",1999.63835616438,13.59,-0.405897435897437
"85",1999.80273972603,14.07,-0.509487179487179
"86",1999.96712328767,10.71,-2.34525
"87",2000.13150684931,12.3,-0.0758536585365857
"88",2000.29589041096,12.51,0.441794871794871
"89",2000.4602739726,11.6,-0.581463414634147
"90",2000.62465753425,12.53,-1.46589743589744
"91",2000.78904109589,13.88,-0.699487179487178
"92",2000.95342465753,12.36,-0.695250000000001
"93",2001.11506849315,11,-1.37585365853659
"94",2001.27945205479,11.03,-1.03820512820513
"95",2001.44383561644,10.81,-1.37146341463415
"96",2001.60821917808,14.48,0.484102564102564
"97",2001.77260273973,14.02,-0.55948717948718
"98",2001.93698630137,13.06,0.00474999999999959
"99",2002.10136986301,10.93,-1.44585365853659
"100",2002.26575342466,11.29,-0.778205128205128
"101",2002.4301369863,10.91,-1.27146341463415
"102",2002.59452054795,14.01,0.0141025641025632
"103",2002.75890410959,13.63,-0.949487179487178
"104",2002.92328767123,13.68,0.624749999999999
"105",2003.08767123288,13.12,0.744146341463415
"106",2003.25205479452,11.85,-0.218205128205129
"107",2003.41643835616,11,-1.18146341463415
"108",2003.58082191781,15.11,1.11410256410256
"109",2003.74520547945,14.47,-0.109487179487179
"110",2003.9095890411,12.49,-0.565250000000001
"111",2004.07397260274,12.24,-0.135853658536586
"112",2004.23835616438,12.43,0.361794871794871
"113",2004.40273972603,13.02,0.838536585365853
"114",2004.56712328767,14.76,0.764102564102563
"115",2004.73150684932,14.03,-0.549487179487178
"116",2004.89589041096,14.06,1.00475
"117",2005.05753424658,13.56,1.18414634146341
"118",2005.22191780822,13.95,1.88179487179487
"119",2005.38630136986,13.65,1.46853658536585
