"","year","lat_36_00000","lat_36_00450","lat_36_00900","lat_36_01350","lat_36_01800","lat_36_02250","lat_36_02700","lat_36_03150","lat_36_03600","lat_36_04050","lat_36_04500","lat_36_05849","lat_36_06299","lat_36_06749","lat_36_07199","lat_36_07649","lat_36_08099","lat_36_08549","lat_36_08999","lat_36_09449","lat_36_09899","lat_36_10349","lat_36_10799","lat_36_11249","lat_36_11698","lat_36_12148","lat_36_12598","lat_36_13048","lat_36_13498","lat_36_13948","lat_36_14398","lat_36_14848","lat_36_15298","lat_36_15748","lat_36_16198","lat_36_16648","lat_36_17098","lat_36_17547","lat_36_17997","lat_36_18447","lat_36_19347","lat_36_19797","lat_36_20247","lat_36_20697","lat_36_21147","lat_36_21597","lat_36_22047"
"1",1984,0,0.0773393985797715,0.139195266639061,0.0112980234503703,0.0697933508145048,0.0501549744813122,0.00275184424056673,0.0373224967933074,0.0608650395814501,0.115180687565666,0,0,0.00179005428375999,0.390311035000869,0.16266394009748,0.291112842031207,0.133533198492798,0.344594594594595,0.0151927376559007,0,0.110059419143554,0.437422430957972,0.195000388513326,0.27213556174559,0,0.185474183782015,0.182909073031265,0.00843535311566966,0.203410123469988,0.212617651651737,0.0653605809829421,0.184095337230096,0.212794221068442,0.0242021846219747,0.159643096514745,0.338652609006433,0.141950543438617,0.167066259808195,0.0469488611946713,0.0127819959578303,0,0.0254270957489074,0.495774775181888,0.374605743349241,0.17008563394683,0.324341286706819,0.619669447425007
"2",1985,0.115392431817258,0.438882133045084,0.976319909300868,0.423631551290028,0.776295350280106,0.599154845890183,0.275739842160273,0.575172820867907,0.710589749910976,0.863427566154372,0.356200527704486,0,0.295897428434212,0.930063873552019,0.927574224695952,0.805447373049574,0.913233195412684,1,0.856261616787436,0.0746334348812925,0.75324386688543,1,1,1,0.687032441538211,1,1,0.368305102760573,1,0.971195752473701,1,1,0.893997933615218,0.437781109445277,0.790088806970509,0.621872766261615,0.583120577722664,0.718341325196164,0.630783555364561,0.283989730704102,0.00871351657693398,1,1,1,1,1,1
"3",1986,0.00365809047677113,0.155136693239652,0.42565261966816,0.324588071066808,0.684111607769611,0.353962602152349,0.221192735131205,0.464911782845424,0.2002218752568,0.168214137366531,0.0121777958189568,0,0.0279132041971679,0.196449719671545,0.143667645566506,0.14894846604186,0.325793899321348,0.127540540540541,0.220079196185653,0.0070767132981799,0.240500454304783,0.335598274953793,0.387314484886832,0.378681522748375,0.00490879779738077,0.136420914818755,0.171173999039411,0.0457808740687776,0.181862561690452,0.127099274570208,0.175477115352136,0.42170443323458,0.157175477742952,0.0179910044977511,0.0985045241286863,0.335864903502502,0.12108833612955,0.297079337401918,0.350307978799599,0.470858141694434,0.181212808160952,0.246589855648258,0.217000316326992,0.0906749013326288,0.222829328561691,0.0526420101077944,0.468622103847964
"4",1987,0.014835589155794,0.431315587983606,0.516887620321388,0.342819009178334,0.737053290400301,0.366152154344828,0.330418229832011,0.517615053104343,0.339660886953187,0.275295037505803,0.0619037954130302,0,0.108029048360572,0.525078652717497,0.405033902735282,0.440928164024222,0.458854813704453,0.427905405405405,0.103655415779975,0.025717811742166,0.262026003229159,0.457387251444235,0.378500782576842,0.332181987000928,0.1971126849856,0.339523770558874,0.342896366022366,0.0710337897249089,0.281094660323908,0.249258244488295,0.27514657273144,0.411348653481731,0.388575844135548,0.00492610837438424,0.3109081769437,0.566833452466047,0.567583339412065,0.418210549258936,0.501217590603065,0.830720489430273,0.550085009917824,0.528936564693418,0.544545618871164,0.598304077150453,0.432078646898432,0.246848195901829,0.960761195485756
"5",1988,0.0686908100638134,0.206698794457205,0.140882589353924,0.183843939301131,0.380469093198194,0.215638454955414,0.0704522618139955,0.248324763234465,0.447215602487194,0.404622865101278,0.0686015831134565,0,0.208213875103692,0.675826140587427,0.611732960223866,0.551383200582929,0.502777235905913,0.601081081081081,0.368073700940118,0.0393361697720781,0.443460298991378,0.596310615462914,0.524232131162099,0.622739090064995,0.730849348814462,0.796838229277473,0.65771629333525,0.168591112442387,0.736387122062465,0.749748016070186,0.569257123555384,0.341246963994982,0.663517889856482,0.0732490897408439,0.450883880697051,0.409363831308077,0.357502370705376,0.658620313862249,0.0985174043833262,0.0635822363030535,0.496032870501559,0.0266189908621375,0.409511651377529,0.49865416054296,0.304660872528971,0.397264949736294,0.291746364303376
"6",1989,0.305166036662196,0.61161404614992,0.383296833723425,0.463312453455496,0.69490826913758,0.818562351177939,0.444470812778656,0.605896530718034,0.911030761223875,1,1,0,0.48299448430428,0.660184173662576,0.663155952582297,0.877974320962838,0.797153974886806,0.799243243243243,0.975729332219918,0.186894272177298,0.657146965963093,0.76834200916096,0.88905169447312,0.83924791086351,0.788758671907548,0.855609197283365,0.717514872116814,0.404838974616641,0.7902542448376,0.788404480345253,0.922913600501846,0.672792057010169,0.989980638495533,0.432855001070893,0.670681132707775,0.810793423874196,0.915092275147713,1,0.629386907319868,0.450101054241547,0.437871918390479,0.854588796185936,0.792866073176977,0.629283154713741,0.520577709611452,0.472170533246716,0.634551523196784
"7",1990,0.536398000243873,1,0.960409917560335,0.760802354708611,1,1,0.905472888022661,0.988194830697981,1,0.904916070075989,0.201542520803735,0,1,0.923049921101237,0.593005735020526,0.738523580994497,1,0.566432432432432,0.622309619373434,0.271184831669155,0.778109699897373,0.708099324089038,0.709292128720015,0.586202414113278,0.72938214356875,0.48322723181409,0.487370518982985,0.337602543167171,0.446715484526164,0.25135929359322,0.458223755639733,0.618891291002749,0.485470189360723,0.218676376097665,0.456099195710456,0.792333809864189,0.642497629294624,0.597210113339146,1,0.986234773583875,0.255738169453103,0.226195205932989,0.838409628391101,0.679029674521525,0.694998295841854,0.250173418042083,0.757183390093601
"8",1991,0.134211275047758,0.237250221441547,1,1,0.98002798798962,0.674460471530367,0.650480436659615,0.678823720822881,0.955145588517271,0.673931634373397,0,0,0.78350530467306,1,1,1,0.999620119303073,0.635702702702703,0.737413463351561,1,0.950523267595322,0.721760404296544,0.572479936061807,0.656332404828227,0.919394279710906,0.834920219294657,0.77040023296183,0.501971147807098,0.720095497710549,0.833406680768303,0.666296716288272,0.727987295486695,0.670689460569384,0.0346969372456629,0.545702077747989,0.671265189421015,0.685826829090379,0.347101133391456,0.410399656209712,0.577210902933304,0.279045055256447,0.100648920672759,0.391797339840631,0.330605875456182,0.399380112474438,0.41478292465399,0.381475653874047
"9",1992,0.311303499573223,0.305949646444174,0.408427313370372,0.589241328617898,0.567091921072058,0.478203803636912,0.513216426237951,0.522628466349592,0.881543265675076,0.666357172526694,0.127866856099046,0,0.294835038493444,0.800581324777492,0.669498301019388,0.811314354632026,0.752779802667379,0.648608108108108,0.529402257360666,0.515780207641124,0.72554108026487,0.656919381769155,0.697414721324941,0.837140204271123,0.994620247432391,0.970198838065625,0.795016280855151,0.548674789599297,0.798549717604718,1,0.808357661591913,0.724317399311394,0.858426595587661,0.0447633326194046,0.549178954423593,0.306969263759828,0.563790210810416,0.595411944202267,0.303108437186649,0.406456546676135,0.42866251062624,0.00980002648655807,0.325304653019416,0.352131050085044,0.405483128834356,0.552427302055692,0.413334916683278
"10",1993,0.535178636751616,0.48611298773439,0.501985150674376,0.268470309845351,0.2804188235081,0.222981451838188,0.305419365914496,0.463893965363936,0.457953269236037,0.179026070809001,0,0,0.419411174013651,0.540933859543798,0.270660680514768,0.404696097891907,0.238801219725049,0.149310810810811,0.182447539261374,0.105943576156654,0.282427229525235,0.268864344580658,0.422341736321556,0.297316620241411,0.655713949318021,0.545781850912364,0.297918849108051,0.255311953465452,0.333105279099186,0.474680938657884,0.397833377566531,0.0791763418474925,0.236444776300824,0,0.228698894101877,0.217244460328806,0.0282296301699613,0.197144725370532,0.167955880246383,0.387010433167641,0.40726834797393,0.226724937094425,0.535872987181225,0.389847581617319,0.205468217450579,0.169630371830304,0.489577457620649
