"","year","lat_36_00000","lat_36_00900","lat_36_01800","lat_36_02700","lat_36_03600","lat_36_04500","lat_36_05399","lat_36_06299","lat_36_07199","lat_36_08099","lat_36_08999","lat_36_09899","lat_36_10799","lat_36_11698","lat_36_12598","lat_36_13498","lat_36_14398","lat_36_15298","lat_36_16198","lat_36_17098","lat_36_17997","lat_36_18897","lat_36_19797","lat_36_20697","lat_36_21597","lat_36_22496","lat_36_23396","lat_36_24296","lat_36_25196","lat_36_26096","lat_36_26995","lat_36_27895","lat_36_28795","lat_36_29695","lat_36_30595","lat_36_31494","lat_36_32394","lat_36_33294","lat_36_34194","lat_36_35093","lat_36_35993","lat_36_36893","lat_36_37793","lat_36_38692","lat_36_39592","lat_36_40492","lat_36_41391","lat_36_42291","lat_36_43191","lat_36_44091"
"1",1984,0.0703684731755626,0.0651786372282241,0.0598704994062689,0.0225137344811178,0.0934947294637802,0,0,0.332065644708887,0.211426200423511,0.236308515600069,0.00393722774488998,0.27796803411946,0.223858354696847,0.161292801639484,0.139442796480468,0.20645070721135,0.141810089275741,0.207586142937839,0.256238910745969,0.162216396413891,0.0336022967006677,0,0.482769984511111,0.285295020511437,0.537546538970264,0.502157212703476,0,0,0.00139711187201539,0.0773849023589032,0.268670076726343,0.268980255979658,0.111517419059432,0.267776788982266,0,0,0.0136441194026251,0.0407054082604103,0.105648485689145,0.0887844979448033,0.186569994748206,0.0899561654278635,0.0914092551579438,0.231880435869239,0.247054605895677,0.085853444630636,0.11627693297193,0.0947210934895946,0.193676348547718,0.474736227622589
"2",1985,0.418713929583718,0.656468375720748,0.686790043241548,0.446907038110481,0.826018386218424,0.356200527704486,0,0.847144075972096,0.881211965127148,1,0.282272701887635,0.959521145197728,1,0.977582330003131,0.947933304764502,1,1,0.885347901965248,0.699317287664892,0.685406350131081,0.496161291024163,0.00871351657693398,1,1,1,1,0,0,0.295305933144761,0.642229155317849,1,1,1,1,0.0464200200818723,0.796982915303526,0.582410360607504,0.868611353825689,1,0.344568408690546,0.814582482348136,0.857966457023061,0.858818044061079,1,1,0.989428844376928,1,1,1,1
"3",1986,0.141768261448622,0.367164594016476,0.517294378598795,0.360511744603539,0.191329900520314,0.0121777958189568,0,0.172308996314037,0.145672370705279,0.252657289442031,0.0627582933095052,0.314076388742267,0.384084703724546,0.11940625622634,0.152318249361375,0.171867971935012,0.334015002448853,0.153333164714908,0.226587209750829,0.23018416027446,0.400226190217273,0.181212808160952,0.217818446790358,0.148384666189152,0.352949101063048,0.357773699447012,0,0,0.407647469738786,0.561547731061919,0.634584101588057,0.614064570505097,0.622944830105955,0.629906199987082,0.072140264153858,0.0554343874954562,0.840943210799534,1,0.965797424349477,0.650616559013506,0.740721829958569,0.721983990851915,0.828791234409605,0.806707987603719,0.916836410448612,0.47252282586566,0.652317728671843,0.745217128012274,0.793689626556017,0.533106676468045
"4",1987,0.394932213229519,0.416150719651634,0.549644881589855,0.437427001773587,0.319022457067371,0.0619037954130302,0,0.466957380011041,0.418660218623018,0.468597343937943,0.0476655869540936,0.385579460760509,0.361171901595837,0.326231747929297,0.293216386636465,0.276303764249514,0.362842732061075,0.377519791587627,0.449008717117951,0.500242742013788,0.635159529350356,0.550085009917824,0.544114039231195,0.525716039850792,0.762240973889188,0.591098220368081,0,0,0.69245216037012,0.663974314531438,0.60933949919705,0.34494397480052,0.413096009069797,0.293132217110787,0,0.0765176299527445,0.661507666150164,0.490401544099427,0.473989917598256,0.3110980622431,0.330031510766178,0.400228702115495,0.6710339200373,0.63183544936519,0.679273876839344,0.227412964152037,0.187347820094639,0.462280257597,0.511097095435685,0.467628426878838
"5",1988,0.199610695625448,0.165745160577139,0.297183698160554,0.172130899338149,0.443297926832556,0.0686015831134565,0,0.614270419173698,0.588822755107881,0.573495839163414,0.127205964481179,0.568485948947491,0.561085752794625,0.807793242820141,0.581051073279053,0.743364074179122,0.42244868148581,0.64719123858664,0.428479132916763,0.549826844030165,0.0851475673677113,0.496032870501559,0.398924931984372,0.41394033543874,0.321088277078332,0.397046708344623,0,0,0.00206131259805549,0.0230442892751614,0.3938210016059,0.480212889432854,0.0902730190788762,0.440533518971716,0,0,0.0153564171977402,0.0105341749370753,0.1179328909098,0,0.30388924549221,0.0321612349914237,0.11614407273575,0.270168949315205,0.488161389671974,0.303619250465914,0.31085282001807,0.2749168611027,0.385540248962656,0.684516345239125
"6",1989,0.607765597787112,0.429603433655759,0.757388031277306,0.53674784790414,1,1,0,0.653619883008326,0.744706118010645,0.839445712742716,0.404040545068692,0.787885057956633,0.870419002758151,0.868001593943017,0.761123756838432,0.794474669600369,0.761868346207714,0.978357825159555,0.746287510607113,1,0.561451967202419,0.437871918390479,0.794572664125464,0.581813192435419,0.589397687748004,0.648709456961605,0,0.0238791423001949,0.216426371059171,0.364504201125803,0.497620145125795,0.693475902680924,0.57617672932207,0.817028972505903,0.0274194794160809,0.295710650672483,0.306012938700945,0.443817733668932,0.729725746535529,0.26635349383441,0.918568010737002,0.752668191347437,0.721482690290244,0.767494751574528,0.632082389557906,1,0.794245111100902,0.704765951600058,0.637503734439834,0.810440629594396
"7",1990,1,0.844893127371203,1,0.952759873686032,0.991325856630631,0.201542520803735,0,0.976077488861255,0.648247772754154,0.854966001423767,0.380633586507316,0.83753562907755,0.663241557070107,0.534839040218598,0.553057328740059,0.409887493661312,0.561672437940901,0.480022932105791,0.63753567846949,0.639803217140823,1,0.255738169453103,0.821482319598387,0.686002920903061,0.616197398716504,0.826308451249626,0,0,0.663296038844291,0.717205632314829,0.752932254802831,0.640200175839745,0.635707464549544,0.676738027400799,0.0529852475476944,0.408033442384587,0.594354240650191,0.721615435777723,0.686496257027555,0.394950088079859,0.859660383964521,0.947541452258433,0.82715934258072,0.793949315205438,0.679013150390275,0.621333375095923,0.656421800584983,0.597849456893722,0.540584232365145,0.49542181959699
"8",1991,0.227142027797698,1,0.825631259382072,0.66668252800969,0.841823255061602,0,0,1,1,0.886196823526524,1,0.955374448409096,0.60385099036384,0.8705376711354,0.855982480256897,0.747148664792993,0.706017305230235,0.65263761371205,0.613457532978477,0.510470272194711,0.479066530372561,0.279045055256447,0.383747285782811,0.360638505688319,0.390737520207711,0.391115333268246,0,0,1,1,0.783739517040385,0.550987991663425,0.692332540405601,0.618780456297232,0.0567699080868155,0.0376226826608506,1,0.69008789890322,0.796269164582421,0.562419260129184,0.752582132228511,0.966504669334858,0.762443175195244,0.789688093571928,0.722717421415419,0.372135999874712,0.348095741259705,0.684998358849617,0.575173443983403,0.47281739168036
"9",1992,0.330683331625858,0.51306791097197,0.522178657047476,0.518596703724532,0.801424797131534,0.127866856099046,0,0.736894200045726,0.723335050268033,0.744513587156639,0.554409136602256,0.779372083694023,0.749689100092402,1,0.900995085789975,0.84384624420207,0.754246827231249,0.83533567712944,0.418479518629947,0.60381266789656,0.345918789012375,0.42866251062624,0.316581166536677,0.375429065776132,0.45201281046392,0.393548436637842,0.0353495679497251,0.0414230019493177,0.587588607812375,0.910944386668648,0.730417682745495,0.749910261640686,0.666890379962397,0.636175083788458,0.172626863366031,0.17539076699382,0.306850999945737,0.70652655877098,0.664513066809999,0.405284791544334,0.624584232946257,0.398942252715838,0.640470917356335,0.730418374487654,0.770479247804194,0.403285671777364,0.276396992389091,0.572028690870878,0.601477178423237,0.742200337282712
"10",1993,0.532226889321449,0.366845557320726,0.251396948446217,0.396009430289397,0.324124497883698,0,0,0.540088329271897,0.321543715065148,0.21054569555932,0.132979168993633,0.309600320925617,0.375567088378944,0.577662027153958,0.366261694205907,0.363612923187995,0.192660313968775,0.229599278313141,0.222517935663041,0.129624235362657,0.25609517388373,0.40726834797393,0.527325255676513,0.309332006213896,0.400608680742664,0.560779865575975,0,0,0.0384205764804233,0.223021178956404,0.526338250163564,0.560614506146485,0.320039641159692,0.513120877859034,0.0115856955279215,0.0888767720828789,0.0823048492997064,0.157836565422084,0.359310183399148,0.249911920140928,0.733515201027018,0.281255955784258,0.582328942767222,0.470771268619414,0.567585184219532,0.395188949618655,0.351204422596897,0.413770905584237,0.529357676348548,0.527128556602958
