"","year","lat_34_40","lat_34_60","lat_35_00","lat_35_20","lat_35_40","lat_35_60","lat_35_80","lat_36_00","lat_36_20","lat_36_40","lat_36_60","lat_36_80","lat_37_00","lat_37_40","lat_37_80"
"1",1984,0.107015205712417,0,0.141226613041085,0.00584335730399303,0.043601991847135,0.240963646098473,0.195319499914277,0.18157172103801,0.273572571187933,0.536211607572804,0.301997934566904,0.231355862587203,0.0135190300589204,0,0.191527983888064
"2",1985,0.500143204591542,0,0.459781896028788,0.227552956698076,0.591731889067277,1,0.93818265454547,0.963913761735116,1,1,0.318084354563097,0.413674843819508,0.0479255398767162,0,0
"3",1986,0.178952424617343,0,0.460811178279331,0.0844646778891703,0.221716672669935,0.267623254459182,0.354122497328251,0.345320913374382,0.62371630691306,0.548119372501875,0.154371979249399,0.24230880935633,0.0176829185320252,0,0.149247403010388
"4",1987,0.297590890697185,0.00543159637203849,0.544364084613204,0.200183512638211,0.470391272115015,0.653238813672809,0.469947087361668,0.491317247835786,0.514035332960956,0.719181574029887,0.323051021010968,0.383658382976966,0.0503952972553715,0,0.100726097095612
"5",1988,0.23413679089565,0.0617650101734662,0.526986020659217,0.090803465022654,0.189295672340643,0.30308822036418,0.412408542351805,0.550812883862388,0.349219615905389,0.948029974454616,1,0.463084753812321,0.0288070323449768,0,0.278792134831461
"6",1989,0.322150572900486,0.819765837845294,0.679377497019265,0.158663778242894,0.268953386651615,0.589979652982739,0.78792462065796,0.848296751409819,0.647313648021477,0.88548844332951,0.878203445159907,0.660119737254967,0.140898637891385,0,0.05875026499894
"7",1990,0.897193505851806,0.302074352519226,0.784742964347307,0.322139333870841,1,0.89120283081579,1,0.941730408025267,0.737840308585833,0.692151915432667,0.536872028478472,0.700885348234129,0.186286382996095,0,0.0939421242315031
"8",1991,0.875728862098969,0.545884056971411,0.371453322013873,0.138980961921128,0.530858813082676,0.615140882094867,0.14340900445804,1,0.669840062933729,0.578999978602575,0.554927611383512,0.57333020306494,0.027344228387922,0,0.0475805596777613
"9",1992,0.340598002665488,0.68562265061903,0.274966946840132,0.475537982501147,0.359621277849163,0.844729506136133,0.513342527716896,0.819656151111351,0.688989463279397,0.765555485975755,0.305731139248261,0.711562675768984,0.195022384302413,0,0.0974666101335595
"10",1993,0.371158885841747,0.317291443942477,0.325597246976528,0.0206940361107265,0.0212031746605958,0.0799770121610744,0.212705773126479,0.435313074898576,0.483786434739887,0.615721688998838,0.319180521915689,1,0.152682714419845,0,0.131638223447106
"11",1994,1,0.172828223609339,0.187630869234992,0.161143642074344,0.319901845073525,0.333047193960797,0.554805294044053,0.493217859862515,0.445787680546985,0.352647224587172,0.27903804203944,0.883215102856699,0.127726598538557,0,0.297925058299767
"12",1995,0.103234149677414,0.0691019760664896,0.173958798415756,0.0803641477113857,0.0342497111064608,0.0972130568991315,0.207807320655812,0.564107011952305,0.521243818486491,0.232299471287306,0.0608657315330808,0.237888128217709,0.166575950142198,0,0.480575577697689
"13",1996,0.097725036824489,0.00396592750974239,0.0281714624102804,0.107133646607867,0.0526572635567942,0.152412272750346,0.363267946213699,0.492976957237347,0.317375850643521,0.116072587131196,0.0661748135312123,0.275777243996192,0.0342568275524228,0,1
"14",1997,0.421013539814098,0.326982101596717,0.0498246180944502,0.25267464240825,0.161060708550111,0.392046896641745,0.637081687492339,0.669862045669532,0.540872825320883,0.505110549106991,0.282761947895949,0.274937817338066,0.106879941215692,0,0.102554589781641
"15",1998,0.0309561960716586,0.0266924164568749,0.0341877506035402,0.0410215898818298,0.0135915021996876,0.0491451170784415,0.0163226285040774,0.0883357020737329,0.0532849827604863,0.0767242937917434,0.0180216695438325,0.103112567114855,0.0490821755636898,0,0.109033813864745
"16",1999,0.338731605284938,0.0214936027864952,0.380317988348265,0.464307334804692,0.174793617953312,0.459609327599668,0.318557798874685,0.51025654098361,0.461946558969665,0.556614738977922,0.528963104450965,0.608542131362641,0.108853025622882,0,0.634447212211151
"17",2000,0.132481239693154,0.00367279373728317,0.349137299904862,0.3975681860753,0.0567130928696151,0.0923737663072249,0.291156415588945,0.281701292525864,0.360323558914101,0.600913100740056,0.40442831918818,0.167830118000046,0.0648056171671951,0,0.0623675005299979
"18",2001,0.309503971384855,0.0992861330482464,0.422947728762849,0.561350500994932,0.302496960134429,0.291874548280505,0.420857461920466,0.611811419150052,0.731807911752406,0.788273465367876,0.417502466923533,0.526353283706908,0.149614227979698,0,0.324636951452194
"19",2002,0.883240944157284,0.216091319791703,0.502220494329571,0.520487720126939,0.459273407743509,0.464534731941493,0.33655298235445,0.416633980960568,0.389915162291232,0.607658786067175,0.3800763378821,0.678478492048565,0.218386425179279,0,0.267940428238287
"20",2003,0.717757078772885,0.550419008862986,0.398322132886325,0.288553263457367,0.0585013759202399,0.189545730329202,0.307237670462228,0.35472078756065,0.191085636078106,0.247692268128968,0.146358033200087,0.217746377335301,0.10605668875614,0.0079295154185022,0.178463536145855
"21",2004,0.707057731222353,0.369184743249302,0.407818650132754,1,0.198121194777672,0.339318238952663,0.865904310730848,0.743498625169124,0.50953182803183,0.536385338955817,0.581731200511107,0.346460559740469,0.233490726503286,0.0123916441665482,0.23814129743481
"22",2005,0.78613408118936,0.279434079387523,0.180806735126799,0.4848249164556,0.131536369800979,0.214507991355992,0.445012938553351,0.566841642679658,0.610184151345092,0.659065411534311,0.372236334556402,0.158039799596985,0.128236878988692,0.0296717351143953,0.166154335382658
"23",2006,0.341880842914733,0.0797668724350795,0.134258220733798,0.336664250597909,0.102119239393352,0.227877528722713,0.191250690315947,0.216697395631375,0.513828283330458,0.434769558571131,0.13750445796603,0.283522413814,0.126801289988978,0,0.0715497138011448
"24",2007,0.733527902912467,0.278442597510087,0.346370427646218,0.610163233948752,0.167916113006456,0.34540164661576,0.51483858085785,0.602326030625508,0.331037967872214,0.494573397190577,0.327027089117749,0.442793971031251,0.200131992543102,0.0866278243569703,0.28185287258851
"25",2008,0.163549245260636,0.47902369210608,0.563986806145111,0.768555543791925,0.202198226187081,0.439362020996043,0.727084775221333,0.761824490047126,0.49848719245965,0.641927055983319,0.365126562476069,0.383327550117587,0.0883261440487692,0.0822509592155748,0.444681471274115
"26",2009,0.387554832450628,1,0.896926074164583,0.60265577535447,0.249637617837839,0.693270074474797,0.821544218343301,0.789274186389977,0.726229737356959,0.769927627628276,0.401609681280043,0.729469397062725,0.402828994815551,0.00503055279238312,0.125914246343015
"27",2010,0.728709103150135,0.425414698072214,0.700140579615018,0.243532944047648,0.204635509007837,0.431417347720675,0.191736807540967,0.141893880565516,0.307947839869921,0.370758868496336,0.218865893442031,0.559608943889041,0.149117555008233,0.000909478470939321,0.0468518125927496
"28",2011,0.161950306301166,0.0606959340621444,0.739706997171818,0.0578322705345484,0.0353314372829405,0.136941862039125,0.0716704866606316,0.12699183916967,0.156715631369774,0.303723289290628,0.216306528650226,0.619702465894364,0.183238307773953,0,0.0208024167903328
"29",2012,0.249873250986798,0.0278994378728834,0.601766585906118,0.240715102058545,0.0614834448160335,0.195914521981063,0.263371909585566,0.308755713566372,0.30594203195232,0.447449790158009,0.281523563222163,0.472888538953213,0.507497720747323,0,0.101998092007632
"30",2013,0.67099190436081,0.492456116149947,1,0.709156900590987,0.362748167845379,0.510359181961677,0.615112685258474,0.749123884276554,0.743428893951402,0.572038944883179,0.160931479694648,0.437800504643556,0.453666535127706,0,0.0672567309730761
"31",2014,0.332389543272739,0.348630892850985,0.239949711591795,0.426875914509172,0.193081684011858,0.318861086737395,0.093379791087542,0.109740083129687,0.327685986424797,0.164458249600369,0.0264682844433942,0.416375822537124,0.725026874770374,0,0.070184969260123
"32",2015,0.715034106949762,0.903765906817947,0.40843463264289,0.818281767910806,0.363723703860135,0.633806717235078,0.243170663794334,0.326402744908698,0.427062907409628,0.141650558070353,0.0663235947287697,0.757397166867695,0.794513464600144,0.00324001705272133,0.0721327114691541
"33",2016,0.27572727023496,0.115460220022761,0.208670927573007,0.401573702313182,0.345878845470376,0.576172597335731,0.404478386528908,0.514612694187117,0.347160115456489,0.124071690402431,0.0924439937249342,0.701766970670792,0.763399964620555,1,0.150863896544414
"34",2017,0.256769938633643,0.0655153981446357,0.234617928553242,0.0851881411744266,0.0719319458218154,0.263439183750426,0.174805268769327,0.132154995855297,0.302965898223994,0.0655554270837607,0.0255898189901695,0.527150065695236,0.40869381812244,0.464118232201222,0.211217405130379
"35",2018,0.905598547815741,0.212073662792703,0.426836208519456,0.519822622547622,0.400176516438033,0.914425140863966,0.666439966418314,0.544344871810757,0.710703237636242,0.103532911103909,0.0728524637509928,0.833173602859617,0.896882526636639,0.026232769646156,0.10438308246767
"36",2019,0.498678310688647,0.0482377487326275,0.245474800617137,0.257265173047531,0.0624664075538878,0.176115460107277,0.0590280688466679,0.139764146986351,0.176983567628902,0.043329588456855,0.0289319260382411,0.389023980220055,0.781593163602716,0.0336791246269717,0.156786622853509
"37",2020,0.746952370039148,0.0475652653722799,0.43473145975593,0.398591621942248,0.180160503464746,0.490550602252373,0.216528786017011,0.192991236709985,0.374764393312414,0.0531983162386233,0.0229352779911038,0.435039823388222,0.704608853025623,0,0.0801621793512826
"38",2021,0.643046226341079,0.0384436320998724,0.292703492418871,0.087301522666254,0.187460792591868,0.278324776345973,0.479123919031574,0.114052971359197,0.382637075336236,0.0496964019543505,0.0212691473743401,0.656700532519703,0.839336499340037,0,0.266999682001272
"39",2022,0.53064837252751,0.0219591681898127,0.393954715908722,0.196498329112,0.332737139161578,0.532936394269236,0.61473735558127,0.229164004922863,0.522200574942901,0.0675167267986646,0.0402480488877512,0.760114305670709,1,0,0.110915306338775
"40",2023,0.128517245635608,0,0.134270482680721,0.0548013258516642,0.0269833213767084,0.153732985735937,0.0211581047831155,0.0279579074458614,0.0792761451336026,0.0111443283770485,0.0167996945609532,0.0878116595913922,0.0954428553933242,0,0.189103243587026
"41",2024,0.349596961510623,0.00343138945408146,0.379075203963061,0.108328107566639,0.0628878740897323,0.262344934819445,0.0478614843930675,0.0517981268500601,0.133548415397708,0.0317096090729792,0.0256811662695521,0.209749828411315,0.162765856114521,0.0041779167258775,0.506386474454102
