"","year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
"1",1984,-0.406930069255509,-0.560246084409801,-0.711084881246613,-0.655496484942689,-1.62121469063304,-2.3457954705546,-2.75803612612713,-3.5953785957242,-4.26805465568114,-3.24047987743117,-2.32760927383485,-1.74841096800789,-2.01745643261608,-1.81112612599943,-2.0194695058501,-2.98668243803407
"2",1985,0.642673984564697,0.377379144961976,0.26866868840343,0.616576124603813,-0.123344144713149,-0.932056649253833,-0.117885198059171,-0.798686845708752,-1.44207315122489,-0.587961994307467,0.128287424399219,0.147485085141308,0.268661970228279,0.11223741563446,0.661526913035796,-0.417512441252498
"3",1986,-1.19397876144758,-1.39980423299674,-1.9569889925456,-1.40761594967302,-1.07174849535176,-2.07199537909024,-0.701620201066489,-0.93863516173199,-1.54731039573333,-1.14805141044693,-0.154343077459116,-0.559660376440286,-0.351502434480164,-0.683196849706777,-0.47504312612942,-1.05417961991786
"4",1987,-0.000807864419166437,-0.598536248930952,-0.866423876145807,-0.503630927323945,-1.10136508297687,-1.63659343817373,-0.640005146764415,-0.659115646338665,-1.87540266319133,-0.85082161101916,-0.113048596225742,-1.04475316817842,-1.05802062711046,-1.74345221235928,-0.368942414879813,-1.18214572739183
"5",1988,-0.63059927574869,-0.687812597573967,-0.796407800440887,-0.474318259606964,-1.28913436974509,-1.67033941191696,-1.63421224214414,-1.8993697046199,-2.34435450587034,-1.69467970885174,-1.0979597039434,-0.76645504034449,-0.42921844956243,-0.683196849706777,-0.565699068438114,-0.980482992620455
"6",1989,0.149400011684074,0.087454943106472,-0.168961346457243,0.28179941890901,-0.402368248580521,-0.43346664274644,0.137702373546087,0.411041461268558,-0.906902424929391,-0.0956619972114699,0.341589198624538,0.544521283883155,1.38990354116228,1.12743908984709,1.51222967778114,0.880675260317706
"7",1990,0.385467735965636,-0.0107150305804204,-0.520692624757855,-0.35022363214161,-0.451447536863998,-0.390096057094918,0.373820223462971,0.91403286566264,0.0748544467189984,0.814874705297912,0.838623920393551,0.492855985545572,0.951577190538577,-0.0805725800243988,0.919503054385512,0.968295654182602
"8",1991,-0.0504219871406117,-0.181759246348148,-0.527324534105816,-0.442119400228487,-0.591128923855625,0.354867892071613,-0.000231213749921557,0.608056471605164,-0.738886019474862,0.0542687459477047,0.509797830605676,0.359873082580412,0.655526537059692,0.104558843227795,1.11484687943829,0.457002011123406
"9",1992,-0.486311710246859,-0.352803462115875,-0.533956443453776,-0.534015168315363,-0.730810310847253,-1.39755858353966,-0.370639634184301,0.302080077547688,-1.55262648566872,-0.706337213402503,0.180971740817801,0.226890179615252,0.359475883580806,0.289690266479989,1.31019070449108,-0.0542916319357893
"10",1993,-0.130994491259344,-1.19883204953594,-2.06059919979938,-0.362970634333402,-1.01486856858404,-2.03112708594303,-1.1897815773248,-0.565483343345511,-1.90065563971819,-2.14164035020654,-0.18410308798937,-1.94571464446583,-1.27349413325794,-2.61388715864154,-0.705209430575996,-1.24828650274153
