"","year","sst","sst_anom"
"1",1986,13.0873703703704,0.075140277777777
"2",1987,13.41,0.397769907407406
"3",1988,12.9306111111111,-0.0816189814814816
"4",1989,12.3713888888889,-0.640841203703705
"5",1990,13.0587222222222,0.0464921296296286
"6",1991,12.3316666666667,-0.680563425925927
"7",1992,13.7909444444444,0.778714351851852
"8",1993,13.6219444444444,0.609714351851851
"9",1994,13.0336666666667,0.0214365740740732
"10",1995,12.9025,-0.109730092592594
"11",1996,12.7558055555556,-0.256424537037038
"12",1997,12.8502777777778,-0.161952314814815
"13",1998,14.3886111111111,1.37638101851852
"14",1999,11.9102777777778,-1.10195231481481
"15",2000,12.5544444444444,-0.457785648148148
"16",2001,12.3108055555556,-0.701424537037038
"17",2002,12.1186111111111,-0.893618981481483
"18",2003,13.2088333333333,0.196603240740741
"19",2004,12.8633333333333,-0.14889675925926
"20",2005,13.6281666666667,0.615936574074073
"21",2006,12.8988888888889,-0.113341203703705
"22",2007,12.65825,-0.353980092592593
"23",2008,12.0786111111111,-0.933618981481482
"24",2009,12.5985833333333,-0.41364675925926
"25",2010,12.7261111111111,-0.286118981481483
"26",2011,12.4309722222222,-0.58125787037037
"27",2012,12.2152777777778,-0.796952314814815
"28",2013,12.8540833333333,-0.15814675925926
"29",2014,13.7452777777778,0.733047685185184
"30",2015,14.7508888888889,1.7386587962963
"31",2016,13.9976111111111,0.985381018518519
"32",2017,13.445,0.432769907407407
"33",2018,13.0979722222222,0.0857421296296277
"34",2019,13.8216666666667,0.809436574074073
"35",2020,13.4304722222222,0.418242129629629
"36",2021,12.6838888888889,-0.328341203703705
"37",2022,12.7785,-0.233730092592594
"38",2023,12.965,-0.0472300925925939
"39",2024,13.5116666666667,0.499436574074073
"40",2025,12.6725,-0.339730092592594
