"","year","lat_36_00000","lat_36_00450","lat_36_00900","lat_36_01350","lat_36_01800","lat_36_02250","lat_36_02700","lat_36_03150","lat_36_03600","lat_36_04050","lat_36_04500","lat_36_05849","lat_36_06299","lat_36_06749","lat_36_07199","lat_36_07649","lat_36_08099","lat_36_08549","lat_36_08999","lat_36_09449","lat_36_09899","lat_36_10349","lat_36_10799","lat_36_11249","lat_36_11698","lat_36_12148","lat_36_12598","lat_36_13048","lat_36_13498","lat_36_13948","lat_36_14398","lat_36_14848","lat_36_15298","lat_36_15748","lat_36_16198","lat_36_16648","lat_36_17098","lat_36_17547","lat_36_17997","lat_36_18447","lat_36_19347","lat_36_19797","lat_36_20247","lat_36_20697","lat_36_21147","lat_36_21597","lat_36_22047"
"1",1984,0,0.0160395983611141,0.0978613212246911,0.0109115349813694,0.0239916772147073,0.0176088417997245,0.00084845007345503,0.0153561679349732,0.0069183708741911,0.0146774078762092,0,0,0.000191485062449484,0.185218986218921,0.032940101108688,0.036073917618532,0.0202475993676259,0.0396981227029418,0.000878029066841535,0,0.0262116585078208,0.0762670992634163,0.0546962291390257,0.0456279324823733,0,0.0882185693806902,0.0752941060599129,0.00271815381330731,0.0888677504460677,0.0233160307341945,0.00421734174126546,0.0214759059877287,0.0381553446794667,0.000175917171193428,0.0118658467153656,0.029502710719351,0.00302951163842842,0.00477311545910664,0.00204095054366889,0.000364288655391701,0,0.000298903512116267,0.204954401964223,0.0706315226287242,0.0248603655467952,0.045858337272963,0.227462459142228
"2",1985,0.00441972432759418,0.0910207898067802,0.686402336581622,0.409139750100397,0.266853894387426,0.210356460230074,0.0850162541493196,0.236652185350678,0.0807708902037932,0.110026071452173,0.00273216491543776,0,0.0316526365018122,0.441354387476553,0.18783750552819,0.0998088644208236,0.138473279144363,0.115202395294811,0.0494856559356239,0.0134631123582369,0.17939192452178,0.174355711700446,0.280492923916856,0.167666188827719,0.0590474547450933,0.475637997600638,0.411647737381748,0.118680262201414,0.436889516264316,0.106503057660928,0.0645242388889736,0.116656436338127,0.160299462685353,0.00318207697273776,0.0587251993960929,0.0541762615710735,0.0124449722700908,0.0205231510428581,0.0274212836584163,0.0080937466640233,0.000191485062449484,0.0117553146874476,0.413402238726305,0.188548958158592,0.146163817424855,0.141389145176622,0.367070637559158
"3",1986,0.0001401110213045,0.0321741608588901,0.299255346458654,0.313484399066689,0.235165451735725,0.124272248740589,0.0681982612254027,0.191285793441406,0.0227587002272277,0.0214354294704629,9.34073475363336e-05,0,0.00298592154291146,0.0932236464195121,0.0290932751793167,0.0184572918731795,0.0494000325337156,0.0146929757674653,0.0127189671561974,0.00127656708299656,0.0572773855092797,0.0585134760750105,0.108638972341258,0.0634920876986971,0.000421889853039107,0.0648869707552397,0.0704633894031588,0.0147521337542383,0.0794538466035309,0.0139379330415466,0.0113225273105292,0.0491945363691357,0.0281825535408374,0.000130770286550867,0.00732157925772294,0.0292598516157565,0.00258426994850523,0.00848761431280151,0.0152285112266736,0.0134195222627199,0.00398226658329902,0.00289874135187755,0.0897084165738947,0.0170966581774003,0.0325695852967939,0.00744300880952018,0.172017414433786
"4",1987,0.000568228030846029,0.0894515463681698,0.363398172011854,0.331091684077288,0.253364316614054,0.128551862046879,0.101874723590502,0.212970309171966,0.0386083703150179,0.0350806861563957,0.000474820683309696,0,0.0115560456793701,0.249171883498798,0.0820209918716545,0.0546386279413783,0.0695760196015636,0.0492957276623,0.00599052455533019,0.00463923159430457,0.0624038920998988,0.0797480797482704,0.106166791209797,0.0556956877576645,0.0169409792648397,0.161490406366441,0.14115251322953,0.0228894705137785,0.122807310173395,0.0273341034673824,0.0177536231884058,0.0479864680076658,0.0696740973164768,3.58061498889279e-05,0.0231089777804889,0.0493813510642083,0.0121133761863369,0.0119483565390227,0.0217888206019754,0.0236756490222093,0.0120884675603272,0.0062178157676686,0.225116377929941,0.112809610408756,0.0631542644584407,0.034901655406951,0.352667224569055
"5",1988,0.0026309736222734,0.0428677453626747,0.0990475945384025,0.177554913353565,0.130787411231249,0.075708211967324,0.0217218786695744,0.102172070313493,0.0508338353183983,0.0515608558400561,0.000526194724454679,0,0.0222729820200387,0.320707900609499,0.123878381091811,0.0683259179337024,0.0762359634809042,0.0692459803069353,0.0212719666122744,0.00709584483451014,0.105614131070207,0.103970161753567,0.147043403280822,0.104412289865239,0.0628133276399331,0.379006539785176,0.270747423990565,0.0543257133271316,0.321719813541142,0.0822187040906064,0.0367308826295376,0.0398086547308598,0.118972938557028,0.000532421880957101,0.0335129995069109,0.0356629252893721,0.00762982350459285,0.0188169101611944,0.00428272688454089,0.00181210254220487,0.0109006374574901,0.000312914614246717,0.169293033463977,0.0940207224518221,0.0445303961488214,0.0561689516518486,0.107091523950406
"6",1989,0.0116883727550465,0.12684406437609,0.269477084064071,0.447463228005429,0.238876837011168,0.287387942954163,0.137039476359681,0.249293313050595,0.103554499057031,0.127429417087317,0.00767030002185859,0,0.0516667175005973,0.313285130058612,0.134291743552987,0.108796208042945,0.120872221290267,0.0920747360448152,0.0563900157076846,0.033713825304114,0.156505567586252,0.13396481783661,0.249372709296001,0.14071349869611,0.0677903824744941,0.406960245324549,0.29536337364464,0.130452701569243,0.345253794752922,0.0864578408796303,0.0595502976326638,0.0784855237674043,0.177509766468923,0.00314627082284884,0.0498499445910156,0.0706346362069754,0.0195299195807217,0.0285701940331132,0.0273605688825177,0.0128279423949898,0.00962251358536796,0.0100459602275327,0.327772609661497,0.118650683208028,0.0760896253030973,0.0667597880733432,0.232925232183978
"7",1990,0.0205449460906166,0.207392333734921,0.675216806714146,0.734776445081563,0.343753050035838,0.351088640395691,0.279175880316594,0.406588172723529,0.113667401216964,0.115312927322729,0.00154589160172632,0,0.106971651187735,0.438025972326008,0.120086042781836,0.0915158487487228,0.151629704044856,0.0652543729888826,0.0359649423797396,0.0489189846939035,0.185313950355583,0.123461161606149,0.198951423095888,0.0982863246559814,0.062687227720759,0.229841232926154,0.200624971405914,0.108786867308191,0.195165311942415,0.027564508257972,0.0295665390735008,0.0721976524890834,0.0870478639582348,0.00158948169724328,0.0339006399991867,0.0690264730402249,0.0137121986183338,0.0170624088166369,0.0434717795434096,0.0281078276628084,0.00562000874343607,0.00265899582653429,0.34660041734657,0.128030337689801,0.101583604024014,0.0353718057228839,0.277939789750863
"8",1991,0.00514051769274956,0.0492038771038893,0.703050639490847,0.965791497008423,0.336887609991917,0.236795409950234,0.200556472684387,0.279298866657517,0.108568916830606,0.0858787153249051,0,0,0.0838128561552265,0.474542018056212,0.20250401588052,0.123917300819951,0.151572102847208,0.0732344740467367,0.0426171023134522,0.180389826351293,0.226375820332556,0.125843048968325,0.160576571149711,0.11004475292168,0.0790179456483614,0.397119781261596,0.317133512777108,0.161751946939543,0.314602173658874,0.0913928624078,0.0429922884927231,0.0849244035909089,0.120258846374778,0.000252199838348101,0.0405605838785272,0.0584792267142472,0.0146369313589435,0.00991674673010741,0.0178408033794397,0.0164505906902739,0.0061321923657603,0.00118315973546022,0.161969897417128,0.0623353933783722,0.0583749218428317,0.058645803150687,0.140028511480843
"9",1992,0.011923447913013,0.0634516111814314,0.287145083850569,0.569084264865112,0.194939577519203,0.167891923250932,0.1582351603048,0.215033054763393,0.100202732069602,0.0849135060670296,0.000980777149131502,0,0.031538990895643,0.379909477478027,0.135576094581611,0.100535884942481,0.1141437786894,0.07472120766169,0.0305955766855261,0.0930415020918162,0.172794252207463,0.114537646338178,0.195619894367092,0.140360107564597,0.0854832908870013,0.461463432612,0.327266653195675,0.176801427416772,0.348877999837331,0.109661782796781,0.0521586628642887,0.0844962865813673,0.153921297637747,0.000325368927251562,0.0408190108733778,0.0267425235996523,0.0120324231518054,0.0170110347754919,0.0131766631591255,0.011584067883631,0.00942013099903924,0.000115202395294811,0.134481671826311,0.0663939426288259,0.0592669620118036,0.0781072240098821,0.151723111392392
"10",1993,0.0204982424168484,0.10081610698509,0.352920981196529,0.259286342447857,0.0963948258683706,0.0782862547593268,0.0941670606296291,0.190867017166618,0.0520543579928731,0.0228131878466239,0,0,0.0448651058108266,0.256695845342849,0.0548098747451949,0.0501488481031319,0.0362093582724597,0.0172009630488158,0.0105441327477265,0.0191111433059338,0.0672626309609138,0.0468780341502346,0.118463868512955,0.0498499445910156,0.0563557663469212,0.259594586694727,0.122637620158704,0.0822700781317514,0.145530204250733,0.0520543579928731,0.0256698958921101,0.00923642988221778,0.0423960382576162,0,0.0169985804624871,0.0189258853999868,0.000602477391609351,0.00563246305644091,0.00730134099909007,0.0110298509549154,0.00894998068310636,0.00266522298303672,0.221531092573671,0.0735053553545921,0.0300320190220568,0.0239838932690792,0.179709509503403
