"","year","time","sst"
"1",1985,1985.37179327522,0.00828543871797383
"2",1985,1985.61405598571,0.498592752046176
"3",1985,1985.86140559857,-0.745028324210626
"4",1985,1985.99452054795,0.283650793650793
"5",1986,1986.12164383562,0.735159863945579
"6",1986,1986.3664681358,0.589322988125088
"7",1986,1986.61405598571,0.0951144911766105
"8",1986,1986.86140559857,0.610406458398069
"9",1986,1986.99452054795,1.40698412698413
"10",1987,1987.12164383562,0.401382086167801
"11",1987,1987.3664681358,0.50019255334248
"12",1987,1987.61405598571,0.690766665089654
"13",1987,1987.86140559857,0.987362980137199
"14",1987,1987.99452054795,-0.573015873015874
"15",1988,1988.12352590828,-0.335086512866015
"16",1988,1988.36920786182,0.294105596820741
"17",1988,1988.61679571173,0.393810143350524
"18",1988,1988.86143074581,-0.551434121312076
"19",1988,1988.99452054795,-1.01301587301587
"20",1989,1989.12164383562,-1.28217346938775
"21",1989,1989.3664681358,0.573453422907697
"22",1989,1989.61405598571,-0.111407247953824
"23",1989,1989.86140559857,0.321710806224156
"24",1989,1989.99452054795,0.950317460317459
"25",1990,1990.12164383562,-0.429506802721088
"26",1990,1990.3664681358,0.457366466385958
"27",1990,1990.61405598571,0.852723186828784
"28",1990,1990.86140559857,0.0321455888328518
"29",1990,1990.99452054795,-0.67968253968254
"30",1991,1991.12164383562,-0.555062358276644
"31",1991,1991.3664681358,-0.907198751005346
"32",1991,1991.61405598571,0.16620144769835
"33",1991,1991.86140559857,-0.297202237254105
"34",1991,1991.99452054795,0.303650793650793
"35",1992,1992.12352590828,1.10252218278616
"36",1992,1992.36920786182,1.97649690116857
"37",1992,1992.61679571173,0.879462317263567
"38",1992,1992.86143074581,1.10789921202126
"39",1992,1992.99452054795,0.246984126984127
"40",1993,1993.12164383562,0.585159863945579
"41",1993,1993.3664681358,0.790627335951176
"42",1993,1993.61405598571,0.236636230307045
"43",1993,1993.86140559857,0.774971675789373
"44",1993,1993.99452054795,0.45031746031746
"45",1994,1994.12164383562,0.620715419501134
"46",1994,1994.3664681358,-0.250024837961868
"47",1994,1994.61405598571,-0.612494204475563
"48",1994,1994.86140559857,-0.048071802471496
"49",1994,1994.99452054795,-0.446349206349207
"50",1995,1995.12164383562,0.631826530612245
"51",1995,1995.3664681358,-0.0674161423096942
"52",1995,1995.61405598571,-0.107276813171216
"53",1995,1995.86140559857,-0.0698109329062787
"54",1995,1995.99452054795,0.606984126984126
"55",1996,1996.12352590828,0.60034826974268
"56",1996,1996.36920786182,0.0445403794294365
"57",1996,1996.61679571173,-0.402059421866868
"58",1996,1996.86143074581,-0.686767454645409
"59",1996,1996.99452054795,0.0819841269841266
"60",1997,1997.12164383562,-0.66772902494331
"61",1997,1997.3664681358,0.109757770733784
"62",1997,1997.61405598571,1.16120144769835
"63",1997,1997.86140559857,2.40127602361546
"64",1997,1997.99452054795,2.20031746031746
"65",1998,1998.12164383562,1.70404875283447
"66",1998,1998.3664681358,1.30932298812509
"67",1998,1998.61405598571,0.649244925959219
"68",1998,1998.86140559857,-1.02546310681932
"69",1998,1998.99452054795,-1.18301587301587
"70",1999,1999.12164383562,-1.15506235827664
"71",1999,1999.3664681358,-1.4015465770923
"72",1999,1999.61405598571,-0.332276813171216
"73",1999,1999.86140559857,-0.4726370198628
"74",1999,1999.99452054795,-1.06301587301587
"75",2000,2000.12352590828,-0.555956078083407
"76",2000,2000.36920786182,-0.195459620570564
"77",2000,2000.61679571173,-0.167928987084259
"78",2000,2000.86143074581,-0.307211899089853
"79",2000,2000.99452054795,-0.238015873015874
"80",2001,2001.12164383562,-0.81572902494331
"81",2001,2001.3664681358,-0.0856770118749117
"82",2001,2001.61405598571,-0.113146378388607
"83",2001,2001.86140559857,-0.611332672036713
"84",2001,2001.99452054795,-1.23634920634921
"85",2002,2002.12164383562,-0.810617913832199
"86",2002,2002.3664681358,-0.640894403179259
"87",2002,2002.61405598571,-0.290102900127737
"88",2002,2002.86140559857,-0.226115280732366
"89",2002,2002.99452054795,0.486984126984127
"90",2003,2003.12164383562,0.0933820861678007
"91",2003,2003.3664681358,-0.13785092491839
"92",2003,2003.61405598571,0.0705492737853061
"93",2003,2003.86140559857,-0.426332672036713
"94",2003,2003.99452054795,-0.666349206349207
"95",2004,2004.12352590828,-0.385738686779059
"96",2004,2004.36920786182,-0.828285707527086
"97",2004,2004.61679571173,-0.029233334910346
"98",2004,2004.86143074581,0.170788100910146
"99",2004,2004.99452054795,0.0694841269841264
"100",2005,2005.12164383562,1.07360430839002
"101",2005,2005.3664681358,0.224105596820741
"102",2005,2005.61405598571,-0.199668117519042
"103",2005,2005.86140559857,-0.923506585080192
"104",2005,2005.99452054795,0.583650793650793
"105",2006,2006.12164383562,-0.364840136054421
"106",2006,2006.3664681358,0.211062118559871
"107",2006,2006.61405598571,0.329027534654871
"108",2006,2006.86140559857,0.100189067093721
"109",2006,2006.99452054795,-0.716349206349207
"110",2007,2007.12164383562,-0.754617913832199
"111",2007,2007.3664681358,-0.883937881440129
"112",2007,2007.61405598571,-0.659450726214694
"113",2007,2007.86140559857,-1.11850658508019
"114",2007,2007.99452054795,-1.69634920634921
"115",2008,2008.12352590828,-1.24486912156167
"116",2008,2008.36920786182,-1.22415527274448
"117",2008,2008.61679571173,0.0377231868287844
"118",2008,2008.86143074581,-0.435434121312076
"119",2008,2008.99452054795,-0.708015873015874
"120",2009,2009.12164383562,-0.577284580498866
"121",2009,2009.3664681358,-0.178720490135781
"122",2009,2009.61405598571,-0.673581160997303
"123",2009,2009.86140559857,-0.802419628558453
"124",2009,2009.99452054795,-0.18968253968254
"125",2010,2010.12164383562,0.33027097505669
"126",2010,2010.3664681358,-0.332416142309694
"127",2010,2010.61405598571,-0.802494204475563
"128",2010,2010.86140559857,-0.97068049812367
"129",2010,2010.99452054795,-0.666349206349207
"130",2011,2011.12164383562,-0.700173469387755
"131",2011,2011.3664681358,-0.113068316222738
"132",2011,2011.61405598571,-0.217711595779911
"133",2011,2011.86140559857,-0.307202237254105
"134",2011,2011.99452054795,-0.56968253968254
"135",2012,2012.12352590828,-1.03552129547471
"136",2012,2012.36920786182,-0.835242229266216
"137",2012,2012.61679571173,-0.810537682736433
"138",2012,2012.86143074581,0.719232545354591
"139",2012,2012.99452054795,0.436984126984126
"140",2013,2013.12164383562,-0.741284580498866
"141",2013,2013.3664681358,-0.0232857075270855
"142",2013,2013.61405598571,-0.295755074040781
"143",2013,2013.86140559857,-0.636115280732366
"144",2013,2013.99452054795,0.126984126984127
"145",2014,2014.12164383562,0.478715419501134
"146",2014,2014.3664681358,0.304975162038132
"147",2014,2014.61405598571,2.14359275204618
"148",2014,2014.86140559857,2.14671080622416
"149",2014,2014.99452054795,1.81698412698413
"150",2015,2015.12164383562,1.90471541950113
"151",2015,2015.3664681358,0.695627335951175
"152",2015,2015.61405598571,2.34337536074183
"153",2015,2015.86140559857,1.92149341491981
"154",2015,2015.99452054795,0.14031746031746
"155",2016,2016.12352590828,1.15687000887311
"156",2016,2016.36920786182,0.818236031603349
"157",2016,2016.61679571173,-0.228363769692955
"158",2016,2016.86143074581,0.00256587868792424
"159",2016,2016.99452054795,-0.473015873015874
"160",2017,2017.12164383562,0.090493197278912
"161",2017,2017.3664681358,-0.356763968396651
