year,variable,testing,horizon,forecast,fold
2024,x,-2.48993769905682,1.0,-0.9438041096635821,1
2023,x,-3.38640908102908,1.0,-0.7913600802197975,2
2024,x,-2.48993769905682,2.0,-0.8387234568930698,2
2022,x,-0.190856431133403,1.0,-0.8358301997823284,3
2023,x,-3.38640908102908,2.0,-0.8608856405479595,3
2024,x,-2.48993769905682,3.0,-0.8630722568150316,3
2021,x,-0.430062379477202,1.0,-0.9299307552135017,4
2022,x,-0.190856431133403,2.0,-0.8831300285671022,4
2023,x,-3.38640908102908,3.0,-0.8780058148921831,4
2024,x,-2.48993769905682,4.0,-0.877444764392721,4
2020,x,-1.46465325863626,1.0,-0.9177459091564162,5
2021,x,-0.430062379477202,2.0,-0.8641234008734702,5
2022,x,-0.190856431133403,3.0,-0.862066427888225,5
2023,x,-3.38640908102908,4.0,-0.8619875181043144,5
2024,x,-2.48993769905682,5.0,-0.8619844908375657,5
2019,x,-2.80518295443834,1.0,-0.7603984173170533,6
2020,x,-1.46465325863626,2.0,-0.7954927015600113,6
2021,x,-0.430062379477202,3.0,-0.7994376768137125,6
2022,x,-0.190856431133403,4.0,-0.7998811348124741,6
2023,x,-3.38640908102908,5.0,-0.7999309854788516,6
2024,x,-2.48993769905682,6.0,-0.7999365893605431,6
2018,x,-0.314491370857987,1.0,-0.8770437107218242,7
2019,x,-2.80518295443834,2.0,-0.8256402131528048,7
2020,x,-1.46465325863626,3.0,-0.818643016448425,7
2021,x,-0.430062379477202,4.0,-0.8176905370268893,7
2022,x,-0.190856431133403,5.0,-0.8175608823055217,7
2023,x,-3.38640908102908,6.0,-0.8175432326843614,7
2024,x,-2.48993769905682,7.0,-0.8175408299198699,7
2017,x,-1.4010753226767,1.0,-0.7949841103291431,8
2018,x,-0.314491370857987,2.0,-0.7966661837771115,8
2019,x,-2.80518295443834,3.0,-0.7968965882963356,8
2020,x,-1.46465325863626,4.0,-0.7969281487047812,8
2021,x,-0.430062379477202,5.0,-0.7969324719021722,8
2022,x,-0.190856431133403,6.0,-0.7969330638881768,8
2023,x,-3.38640908102908,7.0,-0.7969331453047078,8
2024,x,-2.48993769905682,8.0,-0.7969331564265103,8
2016,x,-0.764743743296572,1.0,-0.8398804503514051,9
2017,x,-1.4010753226767,2.0,-0.805128609456765,9
2018,x,-0.314491370857987,3.0,-0.8002880535372611,9
2019,x,-2.80518295443834,4.0,-0.7996138161847931,9
2020,x,-1.46465325863626,5.0,-0.7995199012256368,9
2021,x,-0.430062379477202,6.0,-0.7995068198539732,9
2022,x,-0.190856431133403,7.0,-0.79950499746819,9
2023,x,-3.38640908102908,8.0,-0.7995047434708689,9
2024,x,-2.48993769905682,9.0,-0.7995047080510047,9
2015,x,-1.14194304957435,1.0,-0.9017201422857641,10
2016,x,-0.764743743296572,2.0,-0.8041432604433066,10
2017,x,-1.4010753226767,3.0,-0.79283368825217,10
2018,x,-0.314491370857987,4.0,-0.7915228591886092,10
2019,x,-2.80518295443834,5.0,-0.7913709282546749,10
2020,x,-1.46465325863626,6.0,-0.7913533183260852,10
2021,x,-0.430062379477202,7.0,-0.791351277066024,10
2022,x,-0.190856431133403,8.0,-0.791351040381052,10
2023,x,-3.38640908102908,9.0,-0.7913510128779364,10
2024,x,-2.48993769905682,10.0,-0.7913510097937555,10
2014,x,-2.08007429289592,1.0,-0.6488442177991828,11
2015,x,-1.14194304957435,2.0,-0.7198112614447666,11
2016,x,-0.764743743296572,3.0,-0.7330261210492351,11
2017,x,-1.4010753226767,4.0,-0.735486876413054,11
2018,x,-0.314491370857987,5.0,-0.7359450970393795,11
2019,x,-2.80518295443834,6.0,-0.7360304232203593,11
2020,x,-1.46465325863626,7.0,-0.7360463119251797,11
2021,x,-0.430062379477202,8.0,-0.736049270634522,11
2022,x,-0.190856431133403,9.0,-0.7360498216609881,11
2023,x,-3.38640908102908,10.0,-0.7360499243531196,11
2024,x,-2.48993769905682,11.0,-0.7360499434659031,11
2013,x,-0.0714933292012233,1.0,-0.9338468151924781,12
2014,x,-2.08007429289592,2.0,-0.8099285548895973,12
2015,x,-1.14194304957435,3.0,-0.779310668953676,12
2016,x,-0.764743743296572,4.0,-0.7717455615266258,12
2017,x,-1.4010753226767,5.0,-0.7698763647251875,12
2018,x,-0.314491370857987,6.0,-0.7694145212801369,12
2019,x,-2.80518295443834,7.0,-0.7693004079365768,12
2020,x,-1.46465325863626,8.0,-0.7692722125878274,12
2021,x,-0.430062379477202,9.0,-0.7692652460033489,12
2022,x,-0.190856431133403,10.0,-0.7692635247717515,12
2023,x,-3.38640908102908,11.0,-0.7692630992998793,12
2024,x,-2.48993769905682,12.0,-0.7692629941626937,12
2012,x,-1.56014519310846,1.0,-0.934423786677208,13
2013,x,-0.0714933292012233,2.0,-0.7745803748275463,13
2014,x,-2.08007429289592,3.0,-0.7486197868767752,13
2015,x,-1.14194304957435,4.0,-0.7444034598708769,13
2016,x,-0.764743743296572,5.0,-0.7437186734379942,13
2017,x,-1.4010753226767,6.0,-0.7436074551246734,13
2018,x,-0.314491370857987,7.0,-0.7435893919168,13
2019,x,-2.80518295443834,8.0,-0.7435864579453146,13
2020,x,-1.46465325863626,9.0,-0.7435859813811811,13
2021,x,-0.430062379477202,10.0,-0.7435859038696806,13
2022,x,-0.190856431133403,11.0,-0.7435858913001508,13
2023,x,-3.38640908102908,12.0,-0.74358588925699,13
2024,x,-2.48993769905682,13.0,-0.743585888900401,13
2011,x,-2.30199357393933,1.0,-0.69849808472734,14
2012,x,-1.56014519310846,2.0,-0.6794781842562243,14
2013,x,-0.0714933292012233,3.0,-0.6769705321055927,14
2014,x,-2.08007429289592,4.0,-0.67663991219842,14
2015,x,-1.14194304957435,5.0,-0.6765963217132348,14
2016,x,-0.764743743296572,6.0,-0.6765905744891042,14
2017,x,-1.4010753226767,7.0,-0.6765898168941998,14
2018,x,-0.314491370857987,8.0,-0.676589716720293,14
2019,x,-2.80518295443834,9.0,-0.6765897035335046,14
2020,x,-1.46465325863626,10.0,-0.6765897018054132,14
2021,x,-0.430062379477202,11.0,-0.6765897015342314,14
2022,x,-0.190856431133403,12.0,-0.6765897014916775,14
2023,x,-3.38640908102908,13.0,-0.6765897014848725,14
2024,x,-2.48993769905682,14.0,-0.6765897014839131,14
2010,x,-0.940766257533952,1.0,-0.4514621196059044,15
2011,x,-2.30199357393933,2.0,-0.6100617070722761,15
2012,x,-1.56014519310846,3.0,-0.6426751880576353,15
2013,x,-0.0714933292012233,4.0,-0.6493816312765693,15
2014,x,-2.08007429289592,5.0,-0.6507607055132049,15
2015,x,-1.14194304957435,6.0,-0.6510442904774432,15
2016,x,-0.764743743296572,7.0,-0.6511026056954244,15
2017,x,-1.4010753226767,8.0,-0.6511145974415294,15
2018,x,-0.314491370857987,9.0,-0.6511170632915869,15
2019,x,-2.80518295443834,10.0,-0.6511175704795695,15
2020,x,-1.46465325863626,11.0,-0.6511176748223639,15
2021,x,-0.430062379477202,12.0,-0.6511176962724192,15
2022,x,-0.190856431133403,13.0,-0.651117700669892,15
2023,x,-3.38640908102908,14.0,-0.6511177015951253,15
2024,x,-2.48993769905682,15.0,-0.6511177017897961,15
