year,variable,testing,horizon,forecast,fold
2024,lat_36_08549,-4.570638202445716,1.0,-3.3229128927581253,1
2024,lat_36_08999,-2.35061012151384,1.0,-4.17205144553604,1
2024,lat_36_09449,-4.131525879912678,1.0,-3.9430344056029396,1
2024,lat_36_09899,-2.83589196644073,1.0,-4.007843747165847,1
2024,lat_36_10349,-1.4747877520406367,1.0,-1.8633564305466304,1
2024,lat_36_10799,-2.1482707752286765,1.0,-2.3394136324826653,1
2024,lat_36_11249,-2.8035553859912135,1.0,-2.229793538242705,1
2024,lat_36_11698,-4.004044632110705,1.0,-4.002533050058531,1
2024,lat_36_12148,-4.329941574607597,1.0,-3.792622735808709,1
2024,lat_36_12598,-3.852776147384812,1.0,-3.5801955559437797,1
2024,lat_36_13048,-4.13453748503702,1.0,-3.936051961224801,1
2023,lat_36_08549,-4.290162188035178,1.0,-1.2395293295458814,2
2024,lat_36_08549,-4.570638202445716,2.0,-1.2435008237223757,2
2023,lat_36_08999,-4.22999702779643,1.0,-3.795644539017124,2
2024,lat_36_08999,-2.35061012151384,2.0,-3.811791468396449,2
2023,lat_36_09449,-4.492649052801522,1.0,-2.7344728285629327,2
2024,lat_36_09449,-4.131525879912678,2.0,-2.718370628352805,2
2023,lat_36_09899,-3.933099084921099,1.0,-3.7660605225251786,2
2024,lat_36_09899,-2.83589196644073,2.0,-3.778322698798077,2
2023,lat_36_10349,-1.8232250088059292,1.0,-1.6979225236675286,2
2024,lat_36_10349,-1.4747877520406367,2.0,-1.690697905835488,2
2023,lat_36_10799,-2.3729764004840987,1.0,-2.0243915690556,2
2024,lat_36_10799,-2.1482707752286765,2.0,-2.011139433473293,2
2023,lat_36_11249,-2.3496358237800443,1.0,-1.7600399780167448,2
2024,lat_36_11249,-2.8035553859912135,2.0,-1.751146167801578,2
2023,lat_36_11698,-4.605170185988091,1.0,-2.608016348764064,2
2024,lat_36_11698,-4.004044632110705,2.0,-2.546976712624425,2
2023,lat_36_12148,-4.498476789270406,1.0,-2.092181989861357,2
2024,lat_36_12148,-4.329941574607597,2.0,-2.0743161535087773,2
2023,lat_36_12598,-4.261077997597968,1.0,-1.9896709306482125,2
2024,lat_36_12598,-3.852776147384812,2.0,-1.9855193566776228,2
2023,lat_36_13048,-4.252929512739863,1.0,-3.1301377395386787,2
2024,lat_36_13048,-4.13453748503702,2.0,-3.1136561644469687,2
2022,lat_36_08549,-1.1929081182347607,1.0,-1.3217192730385754,3
2023,lat_36_08549,-4.290162188035178,2.0,-1.3342601334058033,3
2024,lat_36_08549,-4.570638202445716,3.0,-1.3467621171857664,3
2022,lat_36_08999,-3.9056189665983982,1.0,-3.6295638520764752,3
2023,lat_36_08999,-4.22999702779643,2.0,-3.6693284491627143,3
2024,lat_36_08999,-2.35061012151384,3.0,-3.7081369662814914,3
2022,lat_36_09449,-2.8562656756034253,1.0,-2.598149687822104,3
2023,lat_36_09449,-4.492649052801522,2.0,-2.587317318724552,3
2024,lat_36_09449,-4.131525879912678,3.0,-2.576494551699047,3
2022,lat_36_09899,-3.947217868200645,1.0,-3.5310785468859804,3
2023,lat_36_09899,-3.933099084921099,2.0,-3.586215455711263,3
2024,lat_36_09899,-2.83589196644073,3.0,-3.6390754998139476,3
2022,lat_36_10349,-1.4573428428085486,1.0,-2.2134130929322695,3
2023,lat_36_10349,-1.8232250088059292,2.0,-2.2554170893903493,3
2024,lat_36_10349,-1.4747877520406367,3.0,-2.29500060847027,3
2022,lat_36_10799,-1.7635637092174457,1.0,-2.5951453446256485,3
2023,lat_36_10799,-2.3729764004840987,2.0,-2.634795880484409,3
2024,lat_36_10799,-2.1482707752286765,3.0,-2.672789992502341,3
2022,lat_36_11249,-1.3905000356666306,1.0,-2.4864922538410195,3
2023,lat_36_11249,-2.3496358237800443,2.0,-2.528180210116933,3
2024,lat_36_11249,-2.8035553859912135,3.0,-2.5678706509256477,3
2022,lat_36_11698,-2.7931933374976934,1.0,-2.602133182301216,3
2023,lat_36_11698,-4.605170185988091,2.0,-2.5913875991901785,3
2024,lat_36_11698,-4.004044632110705,3.0,-2.5806515025465866,3
2022,lat_36_12148,-2.014888701031007,1.0,-2.3597899211283555,3
2023,lat_36_12148,-4.498476789270406,2.0,-2.388792582088365,3
2024,lat_36_12148,-4.329941574607597,3.0,-2.416943172514383,3
2022,lat_36_12598,-1.786417682123372,1.0,-2.389823152350343,3
2023,lat_36_12598,-4.261077997597968,2.0,-2.420318503110828,3
2024,lat_36_12598,-3.852776147384812,3.0,-2.4499035976980554,3
2022,lat_36_13048,-2.919342556067837,1.0,-3.5811713977408592,3
2023,lat_36_13048,-4.252929512739863,2.0,-3.6008079449154966,3
2024,lat_36_13048,-4.13453748503702,3.0,-3.6202053788191946,3
2021,lat_36_08549,-1.5333531309772477,1.0,-0.9847146922578344,4
2022,lat_36_08549,-1.1929081182347607,2.0,-1.0005227741020095,4
2023,lat_36_08549,-4.290162188035178,3.0,-1.014579047495987,4
2024,lat_36_08549,-4.570638202445716,4.0,-1.0270982074467874,4
2021,lat_36_08999,-4.5200079797018455,1.0,-2.035359766855961,4
2022,lat_36_08999,-3.9056189665983982,2.0,-2.00167324414237,4
2023,lat_36_08999,-4.22999702779643,3.0,-1.9694090245679086,4
2024,lat_36_08999,-2.35061012151384,4.0,-1.9385507305742347,4
2021,lat_36_09449,-3.0436224605093134,1.0,-1.9031642773942599,4
2022,lat_36_09449,-2.8562656756034253,2.0,-1.8738894730425217,4
2023,lat_36_09449,-4.492649052801522,3.0,-1.8460150641804742,4
2024,lat_36_09449,-4.131525879912678,4.0,-1.8195108084206308,4
2021,lat_36_09899,-4.605170185988091,1.0,-1.5780583010566929,4
2022,lat_36_09899,-3.947217868200645,2.0,-1.5277465287569743,4
2023,lat_36_09899,-3.933099084921099,3.0,-1.480802288645364,4
2024,lat_36_09899,-2.83589196644073,4.0,-1.4371457490172788,4
2021,lat_36_10349,-3.036719092619263,1.0,-0.8104754442179178,4
2022,lat_36_10349,-1.4573428428085486,2.0,-0.8171000400551931,4
2023,lat_36_10349,-1.8232250088059292,3.0,-0.8228529966235868,4
2024,lat_36_10349,-1.4747877520406367,4.0,-0.8278530600948171,4
2021,lat_36_10799,-3.3237005823553085,1.0,-1.2687269415580544,4
2022,lat_36_10799,-1.7635637092174457,2.0,-1.237900071274601,4
2023,lat_36_10799,-2.3729764004840987,3.0,-1.2097987449932104,4
2024,lat_36_10799,-2.1482707752286765,4.0,-1.1842495191376905,4
2021,lat_36_11249,-3.1618076864327787,1.0,-1.2498035380940455,4
2022,lat_36_11249,-1.3905000356666306,2.0,-1.2285050841219776,4
2023,lat_36_11249,-2.3496358237800443,3.0,-1.2091068618913963,4
2024,lat_36_11249,-2.8035553859912135,4.0,-1.1914716738387905,4
2021,lat_36_11698,-3.804831970999918,1.0,-0.7351596726584386,4
2022,lat_36_11698,-2.7931933374976934,2.0,-0.6873168291075988,4
2023,lat_36_11698,-4.605170185988091,3.0,-0.6465657229539811,4
2024,lat_36_11698,-4.004044632110705,4.0,-0.612086528635631,4
2021,lat_36_12148,-2.87501688415025,1.0,-1.3658747954226427,4
2022,lat_36_12148,-2.014888701031007,2.0,-1.3202449381160357,4
2023,lat_36_12148,-4.498476789270406,3.0,-1.278343657141913,4
2024,lat_36_12148,-4.329941574607597,4.0,-1.240006386252277,4
2021,lat_36_12598,-2.40023022445066,1.0,-2.1638415471911188,4
2022,lat_36_12598,-1.786417682123372,2.0,-2.12836153538443,4
2023,lat_36_12598,-4.261077997597968,3.0,-2.0942047017005225,4
2024,lat_36_12598,-3.852776147384812,4.0,-2.061365088839701,4
2021,lat_36_13048,-3.7274502089592016,1.0,-3.171477433702884,4
2022,lat_36_13048,-2.919342556067837,2.0,-3.125096007570837,4
2023,lat_36_13048,-4.252929512739863,3.0,-3.0793607832030454,4
2024,lat_36_13048,-4.13453748503702,4.0,-3.0342923526164345,4
2020,lat_36_08549,-0.9215409768076366,1.0,-1.0272143739217934,5
2021,lat_36_08549,-1.5333531309772477,2.0,-1.038817502619562,5
2022,lat_36_08549,-1.1929081182347607,3.0,-1.049266571601742,5
2023,lat_36_08549,-4.290162188035178,4.0,-1.058686639612797,5
2024,lat_36_08549,-4.570638202445716,5.0,-1.0671873162592826,5
2020,lat_36_08999,-1.8735547825828502,1.0,-2.3690835666644356,5
2021,lat_36_08999,-4.5200079797018455,2.0,-2.3396913126009276,5
2022,lat_36_08999,-3.9056189665983982,3.0,-2.311125436359716,5
2023,lat_36_08999,-4.22999702779643,4.0,-2.283385634334306,5
2024,lat_36_08999,-2.35061012151384,5.0,-2.256470240422025,5
2020,lat_36_09449,-1.8590870634473216,1.0,-2.0568137785154015,5
2021,lat_36_09449,-3.0436224605093134,2.0,-2.02674690735135,5
2022,lat_36_09449,-2.8562656756034253,3.0,-1.997829934548766,5
2023,lat_36_09449,-4.492649052801522,4.0,-1.970050678747094,5
2024,lat_36_09449,-4.131525879912678,5.0,-1.9433945305280262,5
2020,lat_36_09899,-1.7996749613045864,1.0,-1.4283557401132017,5
2021,lat_36_09899,-4.605170185988091,2.0,-1.3838962338546505,5
2022,lat_36_09899,-3.947217868200645,3.0,-1.3426139654067561,5
2023,lat_36_09899,-3.933099084921099,4.0,-1.3044014666405674,5
2024,lat_36_09899,-2.83589196644073,5.0,-1.2691367721463598,5
2020,lat_36_10349,-0.7703877753974254,1.0,-0.8476651752507954,5
2021,lat_36_10349,-3.036719092619263,2.0,-0.8501984176509113,5
2022,lat_36_10349,-1.4573428428085486,3.0,-0.8524306693333052,5
2023,lat_36_10349,-1.8232250088059292,4.0,-0.8543982493164457,5
2024,lat_36_10349,-1.4747877520406367,5.0,-0.8561329704336217,5
