year,variable,testing,horizon,forecast,fold
2024,lat_36_08549,-4.570638202445716,1.0,-3.7778983960913606,1
2024,lat_36_08999,-2.35061012151384,1.0,-4.564142833145391,1
2024,lat_36_09449,-4.131525879912678,1.0,-5.087290693786543,1
2024,lat_36_09899,-2.83589196644073,1.0,-4.466763977221562,1
2024,lat_36_10349,-1.4747877520406367,1.0,-1.5366982718124365,1
2024,lat_36_10799,-2.1482707752286765,1.0,-3.2808299444389064,1
2024,lat_36_11249,-2.8035553859912135,1.0,-1.9261489847384092,1
2024,lat_36_11698,-4.004044632110705,1.0,-4.712015897221523,1
2024,lat_36_12148,-4.329941574607597,1.0,-4.588403436327935,1
2024,lat_36_12598,-3.852776147384812,1.0,-3.985318302238305,1
2024,lat_36_13048,-4.13453748503702,1.0,-4.490369809288262,1
2023,lat_36_08549,-4.290162188035178,1.0,-1.116585145025042,2
2024,lat_36_08549,-4.570638202445716,2.0,-1.0946051358889848,2
2023,lat_36_08999,-4.22999702779643,1.0,-3.140710740719155,2
2024,lat_36_08999,-2.35061012151384,2.0,-3.147963242531965,2
2023,lat_36_09449,-4.492649052801522,1.0,-1.8567426155328708,2
2024,lat_36_09449,-4.131525879912678,2.0,-1.299125435511719,2
2023,lat_36_09899,-3.933099084921099,1.0,-4.018835244403635,2
2024,lat_36_09899,-2.83589196644073,2.0,-4.31358600636754,2
2023,lat_36_10349,-1.8232250088059292,1.0,-1.5301330359329322,2
2024,lat_36_10349,-1.4747877520406367,2.0,-1.2041888971955963,2
2023,lat_36_10799,-2.3729764004840987,1.0,-2.6094281351009143,2
2024,lat_36_10799,-2.1482707752286765,2.0,-2.8040266744129005,2
2023,lat_36_11249,-2.3496358237800443,1.0,-1.3764191227301739,2
2024,lat_36_11249,-2.8035553859912135,2.0,-1.0942065617679486,2
2023,lat_36_11698,-4.605170185988091,1.0,-2.676110858078464,2
2024,lat_36_11698,-4.004044632110705,2.0,-2.8494766425001465,2
2023,lat_36_12148,-4.498476789270406,1.0,-2.717332288372198,2
2024,lat_36_12148,-4.329941574607597,2.0,-2.9093335239215534,2
2023,lat_36_12598,-4.261077997597968,1.0,-1.386991369930909,2
2024,lat_36_12598,-3.852776147384812,2.0,-1.0624854255919867,2
2023,lat_36_13048,-4.252929512739863,1.0,-2.8092319082073787,2
2024,lat_36_13048,-4.13453748503702,2.0,-2.6702225215091007,2
2022,lat_36_08549,-1.1929081182347607,1.0,-1.557025067845151,3
2023,lat_36_08549,-4.290162188035178,2.0,-1.536676819633777,3
2024,lat_36_08549,-4.570638202445716,3.0,-1.4927915046480025,3
2022,lat_36_08999,-3.9056189665983982,1.0,-2.32812436592245,3
2023,lat_36_08999,-4.22999702779643,2.0,-2.3482530925693874,3
2024,lat_36_08999,-2.35061012151384,3.0,-2.316475836741353,3
2022,lat_36_09449,-2.8562656756034253,1.0,-2.9253774068310165,3
2023,lat_36_09449,-4.492649052801522,2.0,-3.134321047313311,3
2024,lat_36_09449,-4.131525879912678,3.0,-3.2932374112959706,3
2022,lat_36_09899,-3.947217868200645,1.0,-3.3949554034521436,3
2023,lat_36_09899,-3.933099084921099,2.0,-3.65544004346076,3
2024,lat_36_09899,-2.83589196644073,3.0,-3.734235348611447,3
2022,lat_36_10349,-1.4573428428085486,1.0,-2.403733829806809,3
2023,lat_36_10349,-1.8232250088059292,2.0,-2.591524475124059,3
2024,lat_36_10349,-1.4747877520406367,3.0,-2.608392705670995,3
2022,lat_36_10799,-1.7635637092174457,1.0,-2.9113395361512335,3
2023,lat_36_10799,-2.3729764004840987,2.0,-3.1808652309951566,3
2024,lat_36_10799,-2.1482707752286765,3.0,-3.2283462550069544,3
2022,lat_36_11249,-1.3905000356666306,1.0,-2.5070055448300623,3
2023,lat_36_11249,-2.3496358237800443,2.0,-2.761014605154652,3
2024,lat_36_11249,-2.8035553859912135,3.0,-2.812665472272912,3
2022,lat_36_11698,-2.7931933374976934,1.0,-2.3256006586338938,3
2023,lat_36_11698,-4.605170185988091,2.0,-2.6352490946415,3
2024,lat_36_11698,-4.004044632110705,3.0,-2.91715361715935,3
2022,lat_36_12148,-2.014888701031007,1.0,-3.0130384404089567,3
2023,lat_36_12148,-4.498476789270406,2.0,-3.251226736452493,3
2024,lat_36_12148,-4.329941574607597,3.0,-3.2713789504288937,3
2022,lat_36_12598,-1.786417682123372,1.0,-2.7602386545219337,3
2023,lat_36_12598,-4.261077997597968,2.0,-3.055118349027476,3
2024,lat_36_12598,-3.852776147384812,3.0,-3.102282908232546,3
2022,lat_36_13048,-2.919342556067837,1.0,-3.727848356796654,3
2023,lat_36_13048,-4.252929512739863,2.0,-4.035216706517485,3
2024,lat_36_13048,-4.13453748503702,3.0,-4.17223418189776,3
2021,lat_36_08549,-1.5333531309772477,1.0,-0.9944141692292503,4
2022,lat_36_08549,-1.1929081182347607,2.0,-0.9848912198235715,4
2023,lat_36_08549,-4.290162188035178,3.0,-1.02724818444663,4
2024,lat_36_08549,-4.570638202445716,4.0,-0.9994101591428726,4
2021,lat_36_08999,-4.5200079797018455,1.0,-1.8919156984604344,4
2022,lat_36_08999,-3.9056189665983982,2.0,-1.8843223487346095,4
2023,lat_36_08999,-4.22999702779643,3.0,-1.8982066977218996,4
2024,lat_36_08999,-2.35061012151384,4.0,-1.9079047587481546,4
2021,lat_36_09449,-3.0436224605093134,1.0,-2.079478341760061,4
2022,lat_36_09449,-2.8562656756034253,2.0,-2.1986788057119853,4
2023,lat_36_09449,-4.492649052801522,3.0,-2.322726227065427,4
2024,lat_36_09449,-4.131525879912678,4.0,-2.4398958749766413,4
2021,lat_36_09899,-4.605170185988091,1.0,-1.8696602899386079,4
2022,lat_36_09899,-3.947217868200645,2.0,-2.043008804968749,4
2023,lat_36_09899,-3.933099084921099,3.0,-2.097587296108159,4
2024,lat_36_09899,-2.83589196644073,4.0,-2.1095818464985787,4
2021,lat_36_10349,-3.036719092619263,1.0,-1.060781694563953,4
2022,lat_36_10349,-1.4573428428085486,2.0,-1.0745788606391362,4
2023,lat_36_10349,-1.8232250088059292,3.0,-1.079893905784316,4
2024,lat_36_10349,-1.4747877520406367,4.0,-1.0747683549623281,4
2021,lat_36_10799,-3.3237005823553085,1.0,-1.661468194712353,4
2022,lat_36_10799,-1.7635637092174457,2.0,-1.7524178626756246,4
2023,lat_36_10799,-2.3729764004840987,3.0,-1.8193630580680438,4
2024,lat_36_10799,-2.1482707752286765,4.0,-1.8324335942233536,4
2021,lat_36_11249,-3.1618076864327787,1.0,-1.2387366162332119,4
2022,lat_36_11249,-1.3905000356666306,2.0,-1.2922929357150463,4
2023,lat_36_11249,-2.3496358237800443,3.0,-1.3896373918618483,4
2024,lat_36_11249,-2.8035553859912135,4.0,-1.5010276022424767,4
2021,lat_36_11698,-3.804831970999918,1.0,-1.1833061115315702,4
2022,lat_36_11698,-2.7931933374976934,2.0,-1.1547820229443075,4
2023,lat_36_11698,-4.605170185988091,3.0,-1.149658634595093,4
2024,lat_36_11698,-4.004044632110705,4.0,-1.1314651728760527,4
2021,lat_36_12148,-2.87501688415025,1.0,-1.0686074810523103,4
2022,lat_36_12148,-2.014888701031007,2.0,-0.9797321949052167,4
2023,lat_36_12148,-4.498476789270406,3.0,-0.9603235427807912,4
2024,lat_36_12148,-4.329941574607597,4.0,-0.8503495526548933,4
2021,lat_36_12598,-2.40023022445066,1.0,-2.2182704375979743,4
2022,lat_36_12598,-1.786417682123372,2.0,-2.1934114971847585,4
2023,lat_36_12598,-4.261077997597968,3.0,-2.210851459947479,4
2024,lat_36_12598,-3.852776147384812,4.0,-2.1794013500462928,4
2021,lat_36_13048,-3.7274502089592016,1.0,-2.8883900615206874,4
2022,lat_36_13048,-2.919342556067837,2.0,-2.901834373940952,4
2023,lat_36_13048,-4.252929512739863,3.0,-2.8068390762580075,4
2024,lat_36_13048,-4.13453748503702,4.0,-2.9168021315633625,4
2020,lat_36_08549,-0.9215409768076366,1.0,-0.9368251630950197,5
2021,lat_36_08549,-1.5333531309772477,2.0,-0.9546067641961479,5
2022,lat_36_08549,-1.1929081182347607,3.0,-0.9597245505884581,5
2023,lat_36_08549,-4.290162188035178,4.0,-1.0285056176278935,5
2024,lat_36_08549,-4.570638202445716,5.0,-0.9987718362581727,5
2020,lat_36_08999,-1.8735547825828502,1.0,-1.845399327802964,5
2021,lat_36_08999,-4.5200079797018455,2.0,-1.8626835510769633,5
2022,lat_36_08999,-3.9056189665983982,3.0,-1.8609382302790043,5
2023,lat_36_08999,-4.22999702779643,4.0,-1.7747534213996348,5
2024,lat_36_08999,-2.35061012151384,5.0,-1.587603100051481,5
2020,lat_36_09449,-1.8590870634473216,1.0,-2.3265468709814026,5
2021,lat_36_09449,-3.0436224605093134,2.0,-2.5962091488362016,5
2022,lat_36_09449,-2.8562656756034253,3.0,-2.878292970659362,5
2023,lat_36_09449,-4.492649052801522,4.0,-3.1438439632284134,5
2024,lat_36_09449,-4.131525879912678,5.0,-3.2899750450551304,5
2020,lat_36_09899,-1.7996749613045864,1.0,-1.702044682135936,5
2021,lat_36_09899,-4.605170185988091,2.0,-1.902691466340372,5
2022,lat_36_09899,-3.947217868200645,3.0,-1.9400832942705986,5
2023,lat_36_09899,-3.933099084921099,4.0,-1.9491139829762507,5
2024,lat_36_09899,-2.83589196644073,5.0,-1.9396763870377942,5
2020,lat_36_10349,-0.7703877753974254,1.0,-1.0528747485046925,5
2021,lat_36_10349,-3.036719092619263,2.0,-1.07591701670864,5
2022,lat_36_10349,-1.4573428428085486,3.0,-1.100472027373238,5
2023,lat_36_10349,-1.8232250088059292,4.0,-1.1163093779221072,5
2024,lat_36_10349,-1.4747877520406367,5.0,-1.1430302104273276,5
2020,lat_36_10799,-1.3458682756582796,1.0,-1.6736914980458646,5
2021,lat_36_10799,-3.3237005823553085,2.0,-1.7744420936155427,5
2022,lat_36_10799,-1.7635637092174457,3.0,-1.8337995709376522,5
2023,lat_36_10799,-2.3729764004840987,4.0,-1.8529966310885861,5
2024,lat_36_10799,-2.1482707752286765,5.0,-1.8448543043717671,5
2020,lat_36_11249,-1.4092484672186958,1.0,-1.2736014034271006,5
2021,lat_36_11249,-3.1618076864327787,2.0,-1.3533928561303918,5
2022,lat_36_11249,-1.3905000356666306,3.0,-1.4508849639068335,5
2023,lat_36_11249,-2.3496358237800443,4.0,-1.5496683011222754,5
2024,lat_36_11249,-2.8035553859912135,5.0,-1.6065320030681216,5
2020,lat_36_11698,-0.5885853245359539,1.0,-1.2123899667132059,5
2021,lat_36_11698,-3.804831970999918,2.0,-1.2348023781508337,5
2022,lat_36_11698,-2.7931933374976934,3.0,-1.2651808714899706,5
2023,lat_36_11698,-4.605170185988091,4.0,-1.3340694260879096,5
2024,lat_36_11698,-4.004044632110705,5.0,-1.3530730759765426,5
2020,lat_36_12148,-1.5651309574357808,1.0,-1.2085483446221148,5
2021,lat_36_12148,-2.87501688415025,2.0,-1.1960934019949232,5
2022,lat_36_12148,-2.014888701031007,3.0,-1.1915325276064588,5
2023,lat_36_12148,-4.498476789270406,4.0,-1.2231956314526673,5
2024,lat_36_12148,-4.329941574607597,5.0,-1.1852421918258034,5
2020,lat_36_12598,-2.346413680915321,1.0,-2.0359828616830895,5
2021,lat_36_12598,-2.40023022445066,2.0,-1.9217055352689165,5
2022,lat_36_12598,-1.786417682123372,3.0,-1.8076415901423297,5
2023,lat_36_12598,-4.261077997597968,4.0,-1.7452438295897517,5
2024,lat_36_12598,-3.852776147384812,5.0,-1.6376575859970632,5
2020,lat_36_13048,-3.282913954279421,1.0,-2.760109934046821,5
2021,lat_36_13048,-3.7274502089592016,2.0,-2.6840142243972727,5
2022,lat_36_13048,-2.919342556067837,3.0,-2.6216542584320623,5
2023,lat_36_13048,-4.252929512739863,4.0,-2.4272798512163587,5
2024,lat_36_13048,-4.13453748503702,5.0,-2.504888757369923,5
2019,lat_36_08549,-1.0115671284653545,1.0,-0.8611559711461544,6
2020,lat_36_08549,-0.9215409768076366,2.0,-0.7859515116122335,6
2021,lat_36_08549,-1.5333531309772477,3.0,-0.7495889040444743,6
2022,lat_36_08549,-1.1929081182347607,4.0,-0.7163854975175248,6
2023,lat_36_08549,-4.290162188035178,5.0,-0.7231734699146446,6
2024,lat_36_08549,-4.570638202445716,6.0,-0.6836428582233992,6
2019,lat_36_08999,-3.39974650462315,1.0,-1.7090701202392011,6
2020,lat_36_08999,-1.8735547825828502,2.0,-1.6414317146493247,6
2021,lat_36_08999,-4.5200079797018455,3.0,-1.5957988514281425,6
2022,lat_36_08999,-3.9056189665983982,4.0,-1.5674100471802623,6
2023,lat_36_08999,-4.22999702779643,5.0,-1.5644000435481629,6
2024,lat_36_08999,-2.35061012151384,6.0,-1.5280115075470775,6
2019,lat_36_09449,-2.97826640367865,1.0,-1.4432073199610551,6
2020,lat_36_09449,-1.8590870634473216,2.0,-1.4168704284649736,6
2021,lat_36_09449,-3.0436224605093134,3.0,-1.5084244269669977,6
2022,lat_36_09449,-2.8562656756034253,4.0,-1.671828135803599,6
2023,lat_36_09449,-4.492649052801522,5.0,-1.9170735090243,6
2024,lat_36_09449,-4.131525879912678,6.0,-2.0876214412581673,6
2019,lat_36_09899,-1.6700491135563147,1.0,-0.9952759929985312,6
2020,lat_36_09899,-1.7996749613045864,2.0,-0.9949775341978375,6
2021,lat_36_09899,-4.605170185988091,3.0,-1.0189902575170797,6
2022,lat_36_09899,-3.947217868200645,4.0,-1.076838407813982,6
2023,lat_36_09899,-3.933099084921099,5.0,-1.1712626132987802,6
2024,lat_36_09899,-2.83589196644073,6.0,-1.3062495520883044,6
2019,lat_36_10349,-0.7768908600768161,1.0,-0.9552510857034843,6
2020,lat_36_10349,-0.7703877753974254,2.0,-0.8883373957474833,6
2021,lat_36_10349,-3.036719092619263,3.0,-0.8314209553666815,6
2022,lat_36_10349,-1.4573428428085486,4.0,-0.7829255511668456,6
2023,lat_36_10349,-1.8232250088059292,5.0,-0.7626758041635402,6
2024,lat_36_10349,-1.4747877520406367,6.0,-0.7532820517393335,6
2019,lat_36_10799,-1.1978946148853635,1.0,-1.5913081123521835,6
2020,lat_36_10799,-1.3458682756582796,2.0,-1.6149296294447266,6
2021,lat_36_10799,-3.3237005823553085,3.0,-1.6258452640643102,6
2022,lat_36_10799,-1.7635637092174457,4.0,-1.6099930392136836,6
