year,variable,testing,horizon,forecast,fold
2024,lat_36_08549,-4.570638202445716,1.0,-2.1232546108929635,1
2024,lat_36_08999,-2.35061012151384,1.0,-3.4192023837639622,1
2024,lat_36_09449,-4.131525879912678,1.0,-3.0697592785140637,1
2024,lat_36_09899,-2.83589196644073,1.0,-3.186922317795515,1
2024,lat_36_10349,-1.4747877520406367,1.0,-1.6919252860936806,1
2024,lat_36_10799,-2.1482707752286765,1.0,-2.120272513011337,1
2024,lat_36_11249,-2.8035553859912135,1.0,-1.9786736884006235,1
2024,lat_36_11698,-4.004044632110705,1.0,-2.736907487813776,1
2024,lat_36_12148,-4.329941574607597,1.0,-2.6611259716686626,1
2024,lat_36_12598,-3.852776147384812,1.0,-2.8045987463769357,1
2024,lat_36_13048,-4.13453748503702,1.0,-3.375098370055054,1
2023,lat_36_08549,-4.290162188035178,1.0,-1.30976276417015,2
2024,lat_36_08549,-4.570638202445716,2.0,-1.3240223210845083,2
2023,lat_36_08999,-4.22999702779643,1.0,-3.020466917463434,2
2024,lat_36_08999,-2.35061012151384,2.0,-3.0628083053550292,2
2023,lat_36_09449,-4.492649052801522,1.0,-2.4271488302898336,2
2024,lat_36_09449,-4.131525879912678,2.0,-2.4340127880261626,2
2023,lat_36_09899,-3.933099084921099,1.0,-2.7557056195226877,2
2024,lat_36_09899,-2.83589196644073,2.0,-2.8052116460967933,2
2023,lat_36_10349,-1.8232250088059292,1.0,-1.5447010897682074,2
2024,lat_36_10349,-1.4747877520406367,2.0,-1.5726915883813029,2
2023,lat_36_10799,-2.3729764004840987,1.0,-1.9121448809241806,2
2024,lat_36_10799,-2.1482707752286765,2.0,-1.9451301192013524,2
2023,lat_36_11249,-2.3496358237800443,1.0,-1.7404458224819084,2
2024,lat_36_11249,-2.8035553859912135,2.0,-1.770133000349539,2
2023,lat_36_11698,-4.605170185988091,1.0,-1.9669677535373002,2
2024,lat_36_11698,-4.004044632110705,2.0,-1.9725452230337983,2
2023,lat_36_12148,-4.498476789270406,1.0,-1.8896925722869546,2
2024,lat_36_12148,-4.329941574607597,2.0,-1.9196679117758038,2
2023,lat_36_12598,-4.261077997597968,1.0,-2.180112559997022,2
2024,lat_36_12598,-3.852776147384812,2.0,-2.216781525805344,2
2023,lat_36_13048,-4.252929512739863,1.0,-2.964497364445284,2
2024,lat_36_13048,-4.13453748503702,2.0,-2.9929841014545597,2
2022,lat_36_08549,-1.1929081182347607,1.0,-1.327611119065375,3
2023,lat_36_08549,-4.290162188035178,2.0,-1.3426931468047973,3
2024,lat_36_08549,-4.570638202445716,3.0,-1.3577712834891977,3
2022,lat_36_08999,-3.9056189665983982,1.0,-2.678197386417261,3
2023,lat_36_08999,-4.22999702779643,2.0,-2.711753387742646,3
2024,lat_36_08999,-2.35061012151384,3.0,-2.7438269042873005,3
2022,lat_36_09449,-2.8562656756034253,1.0,-2.267910480599707,3
2023,lat_36_09449,-4.492649052801522,2.0,-2.2673776882212153,3
2024,lat_36_09449,-4.131525879912678,3.0,-2.2668449503689634,3
2022,lat_36_09899,-3.947217868200645,1.0,-2.3001635462804972,3
2023,lat_36_09899,-3.933099084921099,2.0,-2.3367841441989516,3
2024,lat_36_09899,-2.83589196644073,3.0,-2.371238127335405,3
2022,lat_36_10349,-1.4573428428085486,1.0,-1.5331615204870364,3
2023,lat_36_10349,-1.8232250088059292,2.0,-1.560931431890226,3
2024,lat_36_10349,-1.4747877520406367,3.0,-1.587078605954828,3
2022,lat_36_10799,-1.7635637092174457,1.0,-1.9082916183726388,3
2023,lat_36_10799,-2.3729764004840987,2.0,-1.9413507540475465,3
2024,lat_36_10799,-2.1482707752286765,3.0,-1.9724015041495604,3
2022,lat_36_11249,-1.3905000356666306,1.0,-1.8055615173138133,3
2023,lat_36_11249,-2.3496358237800443,2.0,-1.837412827428585,3
2024,lat_36_11249,-2.8035553859912135,3.0,-1.867362762362339,3
2022,lat_36_11698,-2.7931933374976934,1.0,-1.7115693530467384,3
2023,lat_36_11698,-4.605170185988091,2.0,-1.7108109243279097,3
2024,lat_36_11698,-4.004044632110705,3.0,-1.7100526310218571,3
2022,lat_36_12148,-2.014888701031007,1.0,-1.7984893901328014,3
2023,lat_36_12148,-4.498476789270406,2.0,-1.8255811451175294,3
2024,lat_36_12148,-4.329941574607597,3.0,-1.851293094040214,3
2022,lat_36_12598,-1.786417682123372,1.0,-2.240071968351885,3
2023,lat_36_12598,-4.261077997597968,2.0,-2.2783232852839137,3
2024,lat_36_12598,-3.852776147384812,3.0,-2.3143462302886117,3
2022,lat_36_13048,-2.919342556067837,1.0,-2.9355820759640032,3
2023,lat_36_13048,-4.252929512739863,2.0,-2.9634579811347566,3
2024,lat_36_13048,-4.13453748503702,3.0,-2.990272401893158,3
2021,lat_36_08549,-1.5333531309772477,1.0,-1.2471296964328218,4
2022,lat_36_08549,-1.1929081182347607,2.0,-1.259754632443427,4
2023,lat_36_08549,-4.290162188035178,3.0,-1.2722599682455569,4
2024,lat_36_08549,-4.570638202445716,4.0,-1.2846483022692214,4
2021,lat_36_08999,-4.5200079797018455,1.0,-2.0577699303321033,4
2022,lat_36_08999,-3.9056189665983982,2.0,-2.0713747725623857,4
2023,lat_36_08999,-4.22999702779643,3.0,-2.084654129618819,4
2024,lat_36_08999,-2.35061012151384,4.0,-2.097432915868931,4
2021,lat_36_09449,-3.0436224605093134,1.0,-1.9160980569822939,4
2022,lat_36_09449,-2.8562656756034253,2.0,-1.8876531002714112,4
2023,lat_36_09449,-4.492649052801522,3.0,-1.8599004083001627,4
2024,lat_36_09449,-4.131525879912678,4.0,-1.833494266091818,4
2021,lat_36_09899,-4.605170185988091,1.0,-1.5214073539897937,4
2022,lat_36_09899,-3.947217868200645,2.0,-1.530962963813376,4
2023,lat_36_09899,-3.933099084921099,3.0,-1.5402359796262854,4
2024,lat_36_09899,-2.83589196644073,4.0,-1.5490948570864023,4
2021,lat_36_10349,-3.036719092619263,1.0,-1.0407303115833204,4
2022,lat_36_10349,-1.4573428428085486,2.0,-1.0529392306885648,4
2023,lat_36_10349,-1.8232250088059292,3.0,-1.0650060720840953,4
2024,lat_36_10349,-1.4747877520406367,4.0,-1.0769341638475793,4
2021,lat_36_10799,-3.3237005823553085,1.0,-1.4127706464994938,4
2022,lat_36_10799,-1.7635637092174457,2.0,-1.4274323862074958,4
2023,lat_36_10799,-2.3729764004840987,3.0,-1.4414707492168417,4
2024,lat_36_10799,-2.1482707752286765,4.0,-1.454585203580711,4
2021,lat_36_11249,-3.1618076864327787,1.0,-1.3419858097630386,4
2022,lat_36_11249,-1.3905000356666306,2.0,-1.3574290075426332,4
2023,lat_36_11249,-2.3496358237800443,3.0,-1.3721731120635072,4
2024,lat_36_11249,-2.8035553859912135,4.0,-1.3858826388299053,4
2021,lat_36_11698,-3.804831970999918,1.0,-1.0479126639401681,4
2022,lat_36_11698,-2.7931933374976934,2.0,-1.0264438211234392,4
2023,lat_36_11698,-4.605170185988091,3.0,-1.0052314730525949,4
2024,lat_36_11698,-4.004044632110705,4.0,-0.9842779549655534,4
2021,lat_36_12148,-2.87501688415025,1.0,-1.4080065667504236,4
2022,lat_36_12148,-2.014888701031007,2.0,-1.4193389395546125,4
2023,lat_36_12148,-4.498476789270406,3.0,-1.430298813531496,4
2024,lat_36_12148,-4.329941574607597,4.0,-1.4407146163806641,4
2021,lat_36_12598,-2.40023022445066,1.0,-2.104021813443997,4
2022,lat_36_12598,-1.786417682123372,2.0,-2.1341801159009064,4
2023,lat_36_12598,-4.261077997597968,3.0,-2.1627998788185825,4
2024,lat_36_12598,-3.852776147384812,4.0,-2.18905717710648,4
2021,lat_36_13048,-3.7274502089592016,1.0,-2.604315286543514,4
2022,lat_36_13048,-2.919342556067837,2.0,-2.619209583174443,4
2023,lat_36_13048,-4.252929512739863,3.0,-2.6337105522733597,4
2024,lat_36_13048,-4.13453748503702,4.0,-2.647593388431545,4
2020,lat_36_08549,-0.9215409768076366,1.0,-1.3331114468587746,5
2021,lat_36_08549,-1.5333531309772477,2.0,-1.3480659876329357,5
2022,lat_36_08549,-1.1929081182347607,3.0,-1.362902967076805,5
2023,lat_36_08549,-4.290162188035178,4.0,-1.3776250205501985,5
2024,lat_36_08549,-4.570638202445716,5.0,-1.3922346985048266,5
2020,lat_36_08999,-1.8735547825828502,1.0,-2.103394998680619,5
2021,lat_36_08999,-4.5200079797018455,2.0,-2.1196572943122614,5
2022,lat_36_08999,-3.9056189665983982,3.0,-2.1354425520789344,5
2023,lat_36_08999,-4.22999702779643,4.0,-2.1504827175786843,5
2024,lat_36_08999,-2.35061012151384,5.0,-2.164544916090782,5
2020,lat_36_09449,-1.8590870634473216,1.0,-1.9846427362905323,5
2021,lat_36_09449,-3.0436224605093134,2.0,-1.958564932765564,5
2022,lat_36_09449,-2.8562656756034253,3.0,-1.9326004593092718,5
2023,lat_36_09449,-4.492649052801522,4.0,-1.907057779918991,5
2024,lat_36_09449,-4.131525879912678,5.0,-1.8824894941004597,5
2020,lat_36_09899,-1.7996749613045864,1.0,-1.4319152693609034,5
2021,lat_36_09899,-4.605170185988091,2.0,-1.4401718995392248,5
2022,lat_36_09899,-3.947217868200645,3.0,-1.4481824289494902,5
2023,lat_36_09899,-3.933099084921099,4.0,-1.4558316820411552,5
2024,lat_36_09899,-2.83589196644073,5.0,-1.463020564069349,5
2020,lat_36_10349,-0.7703877753974254,1.0,-1.1059202090281393,5
2021,lat_36_10349,-3.036719092619263,2.0,-1.120170937341232,5
2022,lat_36_10349,-1.4573428428085486,3.0,-1.1342811046211436,5
2023,lat_36_10349,-1.8232250088059292,4.0,-1.1481735743579407,5
2024,lat_36_10349,-1.4747877520406367,5.0,-1.1615421927487515,5
2020,lat_36_10799,-1.3458682756582796,1.0,-1.4139279777413005,5
2021,lat_36_10799,-3.3237005823553085,2.0,-1.4296442591506855,5
2022,lat_36_10799,-1.7635637092174457,3.0,-1.4446314464565306,5
2023,lat_36_10799,-2.3729764004840987,4.0,-1.4585285235272196,5
2024,lat_36_10799,-2.1482707752286765,5.0,-1.4710643484293617,5
2020,lat_36_11249,-1.4092484672186958,1.0,-1.3087068224549703,5
2021,lat_36_11249,-3.1618076864327787,2.0,-1.324152037413849,5
2022,lat_36_11249,-1.3905000356666306,3.0,-1.338881722847847,5
2023,lat_36_11249,-2.3496358237800443,4.0,-1.352537390279434,5
2024,lat_36_11249,-2.8035553859912135,5.0,-1.3648487549418569,5
2020,lat_36_11698,-0.5885853245359539,1.0,-1.1900076578336671,5
