year,variable,testing,horizon,forecast,fold
2024,lat_36_08549,-4.570638202445716,1.0,-5.254956173074603,1
2024,lat_36_08999,-2.35061012151384,1.0,-5.086341536204043,1
2024,lat_36_09449,-4.131525879912678,1.0,-5.5826051278928555,1
2024,lat_36_09899,-2.83589196644073,1.0,-3.701039318677051,1
2024,lat_36_10349,-1.4747877520406367,1.0,-1.256678330459454,1
2024,lat_36_10799,-2.1482707752286765,1.0,-3.088547735717054,1
2024,lat_36_11249,-2.8035553859912135,1.0,-2.0245316654538326,1
2024,lat_36_11698,-4.004044632110705,1.0,-5.62922170736254,1
2024,lat_36_12148,-4.329941574607597,1.0,-5.102845580619706,1
2024,lat_36_12598,-3.852776147384812,1.0,-4.3734170985058,1
2024,lat_36_13048,-4.13453748503702,1.0,-4.632515299087421,1
2023,lat_36_08549,-4.290162188035178,1.0,-1.5585917056537248,2
2024,lat_36_08549,-4.570638202445716,2.0,-1.5990130340165158,2
2023,lat_36_08999,-4.22999702779643,1.0,-4.118467791944984,2
2024,lat_36_08999,-2.35061012151384,2.0,-4.117835010348988,2
2023,lat_36_09449,-4.492649052801522,1.0,-3.231980333742202,2
2024,lat_36_09449,-4.131525879912678,2.0,-3.148273478985761,2
2023,lat_36_09899,-3.933099084921099,1.0,-4.083006145220918,2
2024,lat_36_09899,-2.83589196644073,2.0,-3.5508969918811815,2
2023,lat_36_10349,-1.8232250088059292,1.0,-0.689412398942,2
2024,lat_36_10349,-1.4747877520406367,2.0,-0.24894481267039226,2
2023,lat_36_10799,-2.3729764004840987,1.0,-2.2615485933329333,2
2024,lat_36_10799,-2.1482707752286765,2.0,-2.3676871830441706,2
2023,lat_36_11249,-2.3496358237800443,1.0,-2.0018447215133404,2
2024,lat_36_11249,-2.8035553859912135,2.0,-1.990688330845945,2
2023,lat_36_11698,-4.605170185988091,1.0,-2.698403369034967,2
2024,lat_36_11698,-4.004044632110705,2.0,-2.303476854941362,2
2023,lat_36_12148,-4.498476789270406,1.0,-1.6420818385762799,2
2024,lat_36_12148,-4.329941574607597,2.0,-1.054311476548244,2
2023,lat_36_12598,-4.261077997597968,1.0,-1.893872923859083,2
2024,lat_36_12598,-3.852776147384812,2.0,-1.6161311561553986,2
2023,lat_36_13048,-4.252929512739863,1.0,-3.089612369552166,2
2024,lat_36_13048,-4.13453748503702,2.0,-3.1464718674709014,2
2022,lat_36_08549,-1.1929081182347607,1.0,-1.4978685934151308,3
2023,lat_36_08549,-4.290162188035178,2.0,-1.209710858776612,3
2024,lat_36_08549,-4.570638202445716,3.0,-0.9132969221466578,3
2022,lat_36_08999,-3.9056189665983982,1.0,-3.161534133539165,3
2023,lat_36_08999,-4.22999702779643,2.0,-2.80583058484472,3
2024,lat_36_08999,-2.35061012151384,3.0,-2.0683831378036652,3
2022,lat_36_09449,-2.8562656756034253,1.0,-4.351839131110717,3
2023,lat_36_09449,-4.492649052801522,2.0,-4.644097603282103,3
2024,lat_36_09449,-4.131525879912678,3.0,-4.553024034256733,3
2022,lat_36_09899,-3.947217868200645,1.0,-4.723669947846939,3
2023,lat_36_09899,-3.933099084921099,2.0,-5.069552743824693,3
2024,lat_36_09899,-2.83589196644073,3.0,-5.080972572107627,3
2022,lat_36_10349,-1.4573428428085486,1.0,-3.909866551127677,3
2023,lat_36_10349,-1.8232250088059292,2.0,-3.798171428442258,3
2024,lat_36_10349,-1.4747877520406367,3.0,-3.7814346307282265,3
