year,variable,testing,horizon,forecast,fold
2024,lat_36_08549,-4.570638202445716,1.0,-4.468626510836165,1
2024,lat_36_08999,-2.35061012151384,1.0,-4.9839428415037075,1
2024,lat_36_09449,-4.131525879912678,1.0,-5.552360437757901,1
2024,lat_36_09899,-2.83589196644073,1.0,-3.694502601274103,1
2024,lat_36_10349,-1.4747877520406367,1.0,-1.312922467063282,1
2024,lat_36_10799,-2.1482707752286765,1.0,-3.1258811439591034,1
2024,lat_36_11249,-2.8035553859912135,1.0,-1.9275195611222717,1
2024,lat_36_11698,-4.004044632110705,1.0,-5.666131656421378,1
2024,lat_36_12148,-4.329941574607597,1.0,-5.173198695439498,1
2024,lat_36_12598,-3.852776147384812,1.0,-4.5028462111131855,1
2024,lat_36_13048,-4.13453748503702,1.0,-4.620080269781431,1
2023,lat_36_08549,-4.290162188035178,1.0,-1.1531313382065824,2
2024,lat_36_08549,-4.570638202445716,2.0,-1.0715580771622555,2
2023,lat_36_08999,-4.22999702779643,1.0,-4.033243091675138,2
2024,lat_36_08999,-2.35061012151384,2.0,-4.298390763792421,2
2023,lat_36_09449,-4.492649052801522,1.0,-3.6727972150470896,2
2024,lat_36_09449,-4.131525879912678,2.0,-4.24702694119044,2
2023,lat_36_09899,-3.933099084921099,1.0,-4.343619027960588,2
2024,lat_36_09899,-2.83589196644073,2.0,-3.9893509301085515,2
2023,lat_36_10349,-1.8232250088059292,1.0,-0.9097065564860618,2
2024,lat_36_10349,-1.4747877520406367,2.0,-0.5139861152975128,2
2023,lat_36_10799,-2.3729764004840987,1.0,-2.4867099579243312,2
2024,lat_36_10799,-2.1482707752286765,2.0,-2.535975121861424,2
2023,lat_36_11249,-2.3496358237800443,1.0,-1.7715636489635533,2
2024,lat_36_11249,-2.8035553859912135,2.0,-1.8492246442431681,2
2023,lat_36_11698,-4.605170185988091,1.0,-2.723482327847061,2
2024,lat_36_11698,-4.004044632110705,2.0,-2.4507119958587444,2
2023,lat_36_12148,-4.498476789270406,1.0,-1.944585871468704,2
2024,lat_36_12148,-4.329941574607597,2.0,-1.6355272911842687,2
2023,lat_36_12598,-4.261077997597968,1.0,-1.9501632710349872,2
2024,lat_36_12598,-3.852776147384812,2.0,-1.8059359533908945,2
2023,lat_36_13048,-4.252929512739863,1.0,-3.105000128958319,2
2024,lat_36_13048,-4.13453748503702,2.0,-3.2425549714187736,2
2022,lat_36_08549,-1.1929081182347607,1.0,-1.5245480699527485,3
2023,lat_36_08549,-4.290162188035178,2.0,-1.200185812228801,3
2024,lat_36_08549,-4.570638202445716,3.0,-0.8775209364292674,3
2022,lat_36_08999,-3.9056189665983982,1.0,-3.0670056542341566,3
2023,lat_36_08999,-4.22999702779643,2.0,-2.754680731649012,3
2024,lat_36_08999,-2.35061012151384,3.0,-2.141790486994417,3
2022,lat_36_09449,-2.8562656756034253,1.0,-4.269839731597178,3
2023,lat_36_09449,-4.492649052801522,2.0,-4.619910469785357,3
2024,lat_36_09449,-4.131525879912678,3.0,-4.529670535645794,3
2022,lat_36_09899,-3.947217868200645,1.0,-4.643536827831445,3
2023,lat_36_09899,-3.933099084921099,2.0,-5.023308311636518,3
2024,lat_36_09899,-2.83589196644073,3.0,-5.040729351647819,3
2022,lat_36_10349,-1.4573428428085486,1.0,-3.8433816481123917,3
2023,lat_36_10349,-1.8232250088059292,2.0,-3.764602166801049,3
2024,lat_36_10349,-1.4747877520406367,3.0,-3.7561728491490407,3
2022,lat_36_10799,-1.7635637092174457,1.0,-4.01493270463065,3
2023,lat_36_10799,-2.3729764004840987,2.0,-4.102343613248018,3
2024,lat_36_10799,-2.1482707752286765,3.0,-4.102330794759931,3
2022,lat_36_11249,-1.3905000356666306,1.0,-3.825384506888704,3
2023,lat_36_11249,-2.3496358237800443,2.0,-3.9052562123484478,3
2024,lat_36_11249,-2.8035553859912135,3.0,-3.8750248963903466,3
2022,lat_36_11698,-2.7931933374976934,1.0,-4.097158361956258,3
2023,lat_36_11698,-4.605170185988091,2.0,-4.900349432011078,3
2024,lat_36_11698,-4.004044632110705,3.0,-4.758046455255759,3
2022,lat_36_12148,-2.014888701031007,1.0,-3.604774569124628,3
2023,lat_36_12148,-4.498476789270406,2.0,-4.005516846778847,3
2024,lat_36_12148,-4.329941574607597,3.0,-3.7854207006069824,3
2022,lat_36_12598,-1.786417682123372,1.0,-3.5094520180810123,3
2023,lat_36_12598,-4.261077997597968,2.0,-3.5498706708925605,3
2024,lat_36_12598,-3.852776147384812,3.0,-3.5422401538399315,3
2022,lat_36_13048,-2.919342556067837,1.0,-3.894561432713657,3
2023,lat_36_13048,-4.252929512739863,2.0,-4.250605889031731,3
2024,lat_36_13048,-4.13453748503702,3.0,-4.415411832245143,3
2021,lat_36_08549,-1.5333531309772477,1.0,-0.9164063007814677,4
2022,lat_36_08549,-1.1929081182347607,2.0,-0.929254136204873,4
2023,lat_36_08549,-4.290162188035178,3.0,-0.9823173943703528,4
2024,lat_36_08549,-4.570638202445716,4.0,-0.9924171401556183,4
2021,lat_36_08999,-4.5200079797018455,1.0,-1.7280362357383006,4
2022,lat_36_08999,-3.9056189665983982,2.0,-1.645013684785571,4
2023,lat_36_08999,-4.22999702779643,3.0,-1.5575534495374095,4
2024,lat_36_08999,-2.35061012151384,4.0,-1.3897481197201202,4
2021,lat_36_09449,-3.0436224605093134,1.0,-2.442264391968622,4
2022,lat_36_09449,-2.8562656756034253,2.0,-2.6946732075754114,4
2023,lat_36_09449,-4.492649052801522,3.0,-2.8066426300689673,4
2024,lat_36_09449,-4.131525879912678,4.0,-2.755673316319188,4
2021,lat_36_09899,-4.605170185988091,1.0,-2.2967835204458633,4
2022,lat_36_09899,-3.947217868200645,2.0,-2.469018490563079,4
2023,lat_36_09899,-3.933099084921099,3.0,-2.5163983809029173,4
2024,lat_36_09899,-2.83589196644073,4.0,-2.5073869389918215,4
2021,lat_36_10349,-3.036719092619263,1.0,-1.1305336071904135,4
2022,lat_36_10349,-1.4573428428085486,2.0,-1.651646831134767,4
2023,lat_36_10349,-1.8232250088059292,3.0,-1.8804102918930194,4
2024,lat_36_10349,-1.4747877520406367,4.0,-1.8424734294906622,4
2021,lat_36_10799,-3.3237005823553085,1.0,-1.5217725304841692,4
2022,lat_36_10799,-1.7635637092174457,2.0,-1.6148201652917769,4
2023,lat_36_10799,-2.3729764004840987,3.0,-1.892932463141483,4
2024,lat_36_10799,-2.1482707752286765,4.0,-2.22084154426983,4
2021,lat_36_11249,-3.1618076864327787,1.0,-1.453066236275181,4
2022,lat_36_11249,-1.3905000356666306,2.0,-1.5718215158737923,4
2023,lat_36_11249,-2.3496358237800443,3.0,-1.747958746686842,4
2024,lat_36_11249,-2.8035553859912135,4.0,-1.86838673302766,4
2021,lat_36_11698,-3.804831970999918,1.0,-1.282548691413844,4
2022,lat_36_11698,-2.7931933374976934,2.0,-1.4354717628513103,4
2023,lat_36_11698,-4.605170185988091,3.0,-1.5621068545991574,4
2024,lat_36_11698,-4.004044632110705,4.0,-1.6739532888822566,4
2021,lat_36_12148,-2.87501688415025,1.0,-1.212570596272463,4
2022,lat_36_12148,-2.014888701031007,2.0,-1.1597112620411596,4
2023,lat_36_12148,-4.498476789270406,3.0,-1.0770212574141298,4
2024,lat_36_12148,-4.329941574607597,4.0,-0.8230094398699688,4
2021,lat_36_12598,-2.40023022445066,1.0,-1.4626070199797678,4
2022,lat_36_12598,-1.786417682123372,2.0,-1.1359191450260806,4
2023,lat_36_12598,-4.261077997597968,3.0,-1.0314738079532264,4
2024,lat_36_12598,-3.852776147384812,4.0,-0.8675063379169659,4
2021,lat_36_13048,-3.7274502089592016,1.0,-3.0407352164867594,4
2022,lat_36_13048,-2.919342556067837,2.0,-2.7086503796168846,4
2023,lat_36_13048,-4.252929512739863,3.0,-2.0966886656061,4
2024,lat_36_13048,-4.13453748503702,4.0,-2.07311395659837,4
2020,lat_36_08549,-0.9215409768076366,1.0,-1.060024169727018,5
2021,lat_36_08549,-1.5333531309772477,2.0,-1.0487464307801972,5
2022,lat_36_08549,-1.1929081182347607,3.0,-1.0567663993840057,5
2023,lat_36_08549,-4.290162188035178,4.0,-1.1108962333658772,5
2024,lat_36_08549,-4.570638202445716,5.0,-1.1259376910403307,5
2020,lat_36_08999,-1.8735547825828502,1.0,-1.681941594333603,5
2021,lat_36_08999,-4.5200079797018455,2.0,-1.6307679034015372,5
2022,lat_36_08999,-3.9056189665983982,3.0,-1.5834047369574968,5
2023,lat_36_08999,-4.22999702779643,4.0,-1.601652584577843,5
2024,lat_36_08999,-2.35061012151384,5.0,-1.5363204930726324,5
2020,lat_36_09449,-1.8590870634473216,1.0,-2.3493344362322666,5
2021,lat_36_09449,-3.0436224605093134,2.0,-2.6112695969338624,5
2022,lat_36_09449,-2.8562656756034253,3.0,-2.7647091421614216,5
2023,lat_36_09449,-4.492649052801522,4.0,-2.8777070068115793,5
2024,lat_36_09449,-4.131525879912678,5.0,-2.8660722290372664,5
2020,lat_36_09899,-1.7996749613045864,1.0,-2.0251843496687294,5
2021,lat_36_09899,-4.605170185988091,2.0,-2.2609533288073043,5
2022,lat_36_09899,-3.947217868200645,3.0,-2.2937439682591423,5
2023,lat_36_09899,-3.933099084921099,4.0,-2.315679777955325,5
2024,lat_36_09899,-2.83589196644073,5.0,-2.3107471557978494,5
2020,lat_36_10349,-0.7703877753974254,1.0,-1.2056001944828008,5
2021,lat_36_10349,-3.036719092619263,2.0,-1.5827474010621634,5
2022,lat_36_10349,-1.4573428428085486,3.0,-1.7560732954337535,5
2023,lat_36_10349,-1.8232250088059292,4.0,-1.7567397708948234,5
2024,lat_36_10349,-1.4747877520406367,5.0,-1.7445421105072532,5
2020,lat_36_10799,-1.3458682756582796,1.0,-1.4469495732469506,5
2021,lat_36_10799,-3.3237005823553085,2.0,-1.613924988303454,5
2022,lat_36_10799,-1.7635637092174457,3.0,-1.9324662194795663,5
2023,lat_36_10799,-2.3729764004840987,4.0,-2.0046362678154654,5
2024,lat_36_10799,-2.1482707752286765,5.0,-1.9888446196414709,5
2020,lat_36_11249,-1.4092484672186958,1.0,-1.298346702800916,5
2021,lat_36_11249,-3.1618076864327787,2.0,-1.3859589858479244,5
2022,lat_36_11249,-1.3905000356666306,3.0,-1.5875953307659727,5
2023,lat_36_11249,-2.3496358237800443,4.0,-1.8845749201351583,5
2024,lat_36_11249,-2.8035553859912135,5.0,-1.8681016951035476,5
2020,lat_36_11698,-0.5885853245359539,1.0,-1.381243176662051,5
2021,lat_36_11698,-3.804831970999918,2.0,-1.462291669500007,5
2022,lat_36_11698,-2.7931933374976934,3.0,-1.5826890436476848,5
2023,lat_36_11698,-4.605170185988091,4.0,-1.802483882489492,5
2024,lat_36_11698,-4.004044632110705,5.0,-1.930582165232322,5
2020,lat_36_12148,-1.5651309574357808,1.0,-1.3040443350776916,5
2021,lat_36_12148,-2.87501688415025,2.0,-1.2957729340387958,5
2022,lat_36_12148,-2.014888701031007,3.0,-1.2812772603215719,5
2023,lat_36_12148,-4.498476789270406,4.0,-1.1991343729194883,5
2024,lat_36_12148,-4.329941574607597,5.0,-0.9436460752058281,5
2020,lat_36_12598,-2.346413680915321,1.0,-1.4927296752214394,5
2021,lat_36_12598,-2.40023022445066,2.0,-1.1842120846388526,5
2022,lat_36_12598,-1.786417682123372,3.0,-1.0790606547210126,5
2023,lat_36_12598,-4.261077997597968,4.0,-1.0607161203586715,5
2024,lat_36_12598,-3.852776147384812,5.0,-1.0099273382896516,5
2020,lat_36_13048,-3.282913954279421,1.0,-3.048052114119191,5
2021,lat_36_13048,-3.7274502089592016,2.0,-2.7049447237033357,5
2022,lat_36_13048,-2.919342556067837,3.0,-2.389622049121867,5
2023,lat_36_13048,-4.252929512739863,4.0,-1.930865684880447,5
2024,lat_36_13048,-4.13453748503702,5.0,-2.032684464885934,5
2019,lat_36_08549,-1.0115671284653545,1.0,-0.9991849620592974,6
2020,lat_36_08549,-0.9215409768076366,2.0,-1.0482615123180112,6
2021,lat_36_08549,-1.5333531309772477,3.0,-1.1460463442638813,6
2022,lat_36_08549,-1.1929081182347607,4.0,-1.2171140429357066,6
2023,lat_36_08549,-4.290162188035178,5.0,-1.3386205597848868,6
2024,lat_36_08549,-4.570638202445716,6.0,-1.3462146197161864,6
2019,lat_36_08999,-3.39974650462315,1.0,-1.4649799105503614,6
2020,lat_36_08999,-1.8735547825828502,2.0,-1.4321866113674868,6
2021,lat_36_08999,-4.5200079797018455,3.0,-1.4942158374252765,6
2022,lat_36_08999,-3.9056189665983982,4.0,-1.5860860900811546,6
2023,lat_36_08999,-4.22999702779643,5.0,-1.7657767297395512,6
2024,lat_36_08999,-2.35061012151384,6.0,-1.7679180301134558,6
2019,lat_36_09449,-2.97826640367865,1.0,-1.2378876535613623,6
2020,lat_36_09449,-1.8590870634473216,2.0,-1.32696166882469,6
2021,lat_36_09449,-3.0436224605093134,3.0,-1.499126235740379,6
2022,lat_36_09449,-2.8562656756034253,4.0,-1.7836762721506179,6
2023,lat_36_09449,-4.492649052801522,5.0,-2.440131645545407,6
2024,lat_36_09449,-4.131525879912678,6.0,-3.0438665173149446,6
2019,lat_36_09899,-1.6700491135563147,1.0,-1.0435841094825284,6
2020,lat_36_09899,-1.7996749613045864,2.0,-1.080187022124765,6
2021,lat_36_09899,-4.605170185988091,3.0,-1.1692094375612296,6
2022,lat_36_09899,-3.947217868200645,4.0,-1.309340956745398,6
2023,lat_36_09899,-3.933099084921099,5.0,-1.5466076659975083,6
2024,lat_36_09899,-2.83589196644073,6.0,-1.6438587155458417,6
2019,lat_36_10349,-0.7768908600768161,1.0,-0.9216934321110859,6
2020,lat_36_10349,-0.7703877753974254,2.0,-0.8743729859409838,6
2021,lat_36_10349,-3.036719092619263,3.0,-0.8864448662218724,6
2022,lat_36_10349,-1.4573428428085486,4.0,-0.9297840775256341,6
2023,lat_36_10349,-1.8232250088059292,5.0,-1.0671371423606422,6
2024,lat_36_10349,-1.4747877520406367,6.0,-1.1386949647136346,6
2019,lat_36_10799,-1.1978946148853635,1.0,-1.3035620260270828,6
2020,lat_36_10799,-1.3458682756582796,2.0,-1.266849415166632,6
2021,lat_36_10799,-3.3237005823553085,3.0,-1.2839278082224381,6
2022,lat_36_10799,-1.7635637092174457,4.0,-1.305744882119328,6
2023,lat_36_10799,-2.3729764004840987,5.0,-1.3780204534473102,6
2024,lat_36_10799,-2.1482707752286765,6.0,-1.3418661795202766,6
2019,lat_36_11249,-1.117934251557646,1.0,-1.0336171458773962,6
2020,lat_36_11249,-1.4092484672186958,2.0,-1.0840471977746549,6
2021,lat_36_11249,-3.1618076864327787,3.0,-1.201585845133916,6
2022,lat_36_11249,-1.3905000356666306,4.0,-1.3260329327983869,6
2023,lat_36_11249,-2.3496358237800443,5.0,-1.5147555737874834,6
2024,lat_36_11249,-2.8035553859912135,6.0,-1.5510641247884425,6
2019,lat_36_11698,-1.193762519665855,1.0,-0.9232892668531326,6
2020,lat_36_11698,-0.5885853245359539,2.0,-0.6443727887378089,6
2021,lat_36_11698,-3.804831970999918,3.0,-0.5130001125795829,6
2022,lat_36_11698,-2.7931933374976934,4.0,-0.45913424117898344,6
2023,lat_36_11698,-4.605170185988091,5.0,-0.40881533686306915,6
