year,variable,testing,horizon,forecast,fold
2024,lat_36_08549,-4.570638202445716,1.0,-3.770677226438944,1
2024,lat_36_08999,-2.35061012151384,1.0,-4.1519610633322666,1
2024,lat_36_09449,-4.131525879912678,1.0,-4.2304702259170535,1
2024,lat_36_09899,-2.83589196644073,1.0,-3.847907318615795,1
2024,lat_36_10349,-1.4747877520406367,1.0,-1.7104732598413304,1
2024,lat_36_10799,-2.1482707752286765,1.0,-2.2118575786401453,1
2024,lat_36_11249,-2.8035553859912135,1.0,-2.153432561875337,1
2024,lat_36_11698,-4.004044632110705,1.0,-4.19542261845305,1
2024,lat_36_12148,-4.329941574607597,1.0,-4.044367544795959,1
2024,lat_36_12598,-3.852776147384812,1.0,-3.846711041806294,1
2024,lat_36_13048,-4.13453748503702,1.0,-4.018168570050791,1
2023,lat_36_08549,-4.290162188035178,1.0,-1.2004467251158335,2
2024,lat_36_08549,-4.570638202445716,2.0,-1.1811580508093296,2
2023,lat_36_08999,-4.22999702779643,1.0,-3.8056565674359892,2
2024,lat_36_08999,-2.35061012151384,2.0,-3.703733253349857,2
2023,lat_36_09449,-4.492649052801522,1.0,-2.777835180027211,2
2024,lat_36_09449,-4.131525879912678,2.0,-2.7186458450079005,2
2023,lat_36_09899,-3.933099084921099,1.0,-3.7284283315073274,2
2024,lat_36_09899,-2.83589196644073,2.0,-3.5372387918166353,2
2023,lat_36_10349,-1.8232250088059292,1.0,-1.4797724194760735,2
2024,lat_36_10349,-1.4747877520406367,2.0,-1.3645686192720223,2
2023,lat_36_10799,-2.3729764004840987,1.0,-1.7679926626422584,2
2024,lat_36_10799,-2.1482707752286765,2.0,-1.6315226280388595,2
2023,lat_36_11249,-2.3496358237800443,1.0,-1.4925771783076935,2
2024,lat_36_11249,-2.8035553859912135,2.0,-1.3991166676815248,2
2023,lat_36_11698,-4.605170185988091,1.0,-2.539120394976611,2
2024,lat_36_11698,-4.004044632110705,2.0,-2.2927080580284454,2
2023,lat_36_12148,-4.498476789270406,1.0,-1.8877680101599394,2
2024,lat_36_12148,-4.329941574607597,2.0,-1.7265261228011273,2
2023,lat_36_12598,-4.261077997597968,1.0,-1.7598238443690002,2
2024,lat_36_12598,-3.852776147384812,2.0,-1.6733281391749073,2
2023,lat_36_13048,-4.252929512739863,1.0,-2.889002855767466,2
2024,lat_36_13048,-4.13453748503702,2.0,-2.7716682642714607,2
2022,lat_36_08549,-1.1929081182347607,1.0,-1.3889816251270108,3
