year,variable,testing,horizon,forecast,fold
2024,lat_36_07649,-4.394155471828453,1.0,-3.9369420307389125,1
2024,lat_36_08099,-4.591911314967573,1.0,-4.0765370738367075,1
2024,lat_36_08549,-4.570638202445716,1.0,-3.898724691148211,1
2024,lat_36_08999,-2.35061012151384,1.0,-3.978659644210594,1
2024,lat_36_09449,-4.131525879912678,1.0,-4.2069511589762065,1
2024,lat_36_09899,-2.83589196644073,1.0,-3.6463061849068135,1
2024,lat_36_10349,-1.4747877520406367,1.0,-1.6915345898163825,1
2024,lat_36_10799,-2.1482707752286765,1.0,-2.151811829741765,1
2024,lat_36_11249,-2.8035553859912135,1.0,-2.149743138683827,1
2024,lat_36_11698,-4.004044632110705,1.0,-4.047798474957493,1
2023,lat_36_07649,-4.442082308595242,1.0,-1.68171346838086,2
2024,lat_36_07649,-4.394155471828453,2.0,-1.3543307442303025,2
2023,lat_36_08099,-4.504645830575255,1.0,-1.73282015538151,2
2024,lat_36_08099,-4.591911314967573,2.0,-1.45146018640728,2
2023,lat_36_08549,-4.290162188035178,1.0,-1.2941463948101146,2
2024,lat_36_08549,-4.570638202445716,2.0,-1.0928750733035502,2
2023,lat_36_08999,-4.22999702779643,1.0,-3.3929994514246427,2
2024,lat_36_08999,-2.35061012151384,2.0,-2.655310508203414,2
2023,lat_36_09449,-4.492649052801522,1.0,-2.801585121005788,2
2024,lat_36_09449,-4.131525879912678,2.0,-2.361031921361356,2
2023,lat_36_09899,-3.933099084921099,1.0,-3.542494200141665,2
2024,lat_36_09899,-2.83589196644073,2.0,-2.8165683036479696,2
2023,lat_36_10349,-1.8232250088059292,1.0,-1.553591375175164,2
2024,lat_36_10349,-1.4747877520406367,2.0,-1.317921143112701,2
2023,lat_36_10799,-2.3729764004840987,1.0,-1.8305079913264695,2
2024,lat_36_10799,-2.1482707752286765,2.0,-1.5481741924874497,2
2023,lat_36_11249,-2.3496358237800443,1.0,-1.4878787606066146,2
2024,lat_36_11249,-2.8035553859912135,2.0,-1.224786190256688,2
2023,lat_36_11698,-4.605170185988091,1.0,-2.6449883880817326,2
2024,lat_36_11698,-4.004044632110705,2.0,-2.1233154413862425,2
2022,lat_36_07649,-1.7248053085867976,1.0,-1.6846603188303357,3
2023,lat_36_07649,-4.442082308595242,2.0,-1.5208397008402956,3
2024,lat_36_07649,-4.394155471828453,3.0,-1.364538860477133,3
2022,lat_36_08099,-1.728399079468159,1.0,-1.8283998980601694,3
2023,lat_36_08099,-4.504645830575255,2.0,-1.699304808469031,3
2024,lat_36_08099,-4.591911314967573,3.0,-1.5569678976490275,3
2022,lat_36_08549,-1.1929081182347607,1.0,-1.390443968090497,3
2023,lat_36_08549,-4.290162188035178,2.0,-1.338747260343586,3
2024,lat_36_08549,-4.570638202445716,3.0,-1.271887216338553,3
2022,lat_36_08999,-3.9056189665983982,1.0,-3.7658799951736954,3
2023,lat_36_08999,-4.22999702779643,2.0,-3.3528575653257144,3
2024,lat_36_08999,-2.35061012151384,3.0,-2.981099640624316,3
2022,lat_36_09449,-2.8562656756034253,1.0,-2.7674665153724867,3
2023,lat_36_09449,-4.492649052801522,2.0,-2.637144967776225,3
2024,lat_36_09449,-4.131525879912678,3.0,-2.487998878552692,3
2022,lat_36_09899,-3.947217868200645,1.0,-3.764137736879563,3
2023,lat_36_09899,-3.933099084921099,2.0,-3.301125428624787,3
2024,lat_36_09899,-2.83589196644073,3.0,-2.887874872510226,3
2022,lat_36_10349,-1.4573428428085486,1.0,-2.5532432686530075,3
2023,lat_36_10349,-1.8232250088059292,2.0,-2.3187736722515533,3
2024,lat_36_10349,-1.4747877520406367,3.0,-2.0822638829518816,3
2022,lat_36_10799,-1.7635637092174457,1.0,-2.788419939836907,3
2023,lat_36_10799,-2.3729764004840987,2.0,-2.51313630330972,3
2024,lat_36_10799,-2.1482707752286765,3.0,-2.250519437096852,3
2022,lat_36_11249,-1.3905000356666306,1.0,-2.6334624178530643,3
2023,lat_36_11249,-2.3496358237800443,2.0,-2.352117010020224,3
2024,lat_36_11249,-2.8035553859912135,3.0,-2.0891235176896745,3
2022,lat_36_11698,-2.7931933374976934,1.0,-3.1234259821175745,3
2023,lat_36_11698,-4.605170185988091,2.0,-2.784641565485852,3
2024,lat_36_11698,-4.004044632110705,3.0,-2.4559194954272066,3
2021,lat_36_07649,-1.973023066800013,1.0,-1.4147384487550994,4
2022,lat_36_07649,-1.7248053085867976,2.0,-1.2687932677555804,4
2023,lat_36_07649,-4.442082308595242,3.0,-1.2200339741184207,4
2024,lat_36_07649,-4.394155471828453,4.0,-1.0818636610424506,4
2021,lat_36_08099,-2.0576585315268705,1.0,-1.380905936583886,4
2022,lat_36_08099,-1.728399079468159,2.0,-1.2906791315264228,4
2023,lat_36_08099,-4.504645830575255,3.0,-1.272622734242214,4
2024,lat_36_08099,-4.591911314967573,4.0,-1.1540791631336467,4
2021,lat_36_08549,-1.5333531309772477,1.0,-1.0181636864157226,4
2022,lat_36_08549,-1.1929081182347607,2.0,-1.0674406180539564,4
2023,lat_36_08549,-4.290162188035178,3.0,-1.1552128744660826,4
2024,lat_36_08549,-4.570638202445716,4.0,-1.107258826371738,4
2021,lat_36_08999,-4.5200079797018455,1.0,-1.8469743714787399,4
2022,lat_36_08999,-3.9056189665983982,2.0,-1.7660606549969704,4
2023,lat_36_08999,-4.22999702779643,3.0,-1.7780121868275671,4
2024,lat_36_08999,-2.35061012151384,4.0,-1.6432326044056607,4
