year,variable,testing,horizon,forecast,fold
2024,lat_36_07649,-4.394155471828453,1.0,-0.382662408322635,1
2024,lat_36_08099,-4.591911314967573,1.0,-0.4219007893723409,1
2024,lat_36_08549,-4.570638202445716,1.0,-0.47404131242742614,1
2024,lat_36_08999,-2.35061012151384,1.0,-0.6770630828091724,1
2024,lat_36_09449,-4.131525879912678,1.0,-0.8174541240289497,1
2024,lat_36_09899,-2.83589196644073,1.0,-0.4802557751283808,1
2024,lat_36_10349,-1.4747877520406367,1.0,-0.36024865115652577,1
2024,lat_36_10799,-2.1482707752286765,1.0,-0.4060813545666275,1
2024,lat_36_11249,-2.8035553859912135,1.0,-0.4131703056076047,1
2024,lat_36_11698,-4.004044632110705,1.0,-0.42496958970685245,1
2023,lat_36_07649,-4.442082308595242,1.0,-0.31081112475081174,2
2024,lat_36_07649,-4.394155471828453,2.0,-0.3120528515932976,2
2023,lat_36_08099,-4.504645830575255,1.0,-0.3532828429529351,2
2024,lat_36_08099,-4.591911314967573,2.0,-0.3540555888861907,2
2023,lat_36_08549,-4.290162188035178,1.0,-0.40240181686318316,2
2024,lat_36_08549,-4.570638202445716,2.0,-0.4036557920985917,2
2023,lat_36_08999,-4.22999702779643,1.0,-0.5963118870870762,2
2024,lat_36_08999,-2.35061012151384,2.0,-0.5964486098027135,2
2023,lat_36_09449,-4.492649052801522,1.0,-0.730514573524513,2
2024,lat_36_09449,-4.131525879912678,2.0,-0.7324648834373007,2
2023,lat_36_09899,-3.933099084921099,1.0,-0.4133248796571472,2
2024,lat_36_09899,-2.83589196644073,2.0,-0.41328228081575497,2
2023,lat_36_10349,-1.8232250088059292,1.0,-0.3175938313780489,2
2024,lat_36_10349,-1.4747877520406367,2.0,-0.31872578277930236,2
2023,lat_36_10799,-2.3729764004840987,1.0,-0.35919653308650773,2
2024,lat_36_10799,-2.1482707752286765,2.0,-0.35995858087048477,2
2023,lat_36_11249,-2.3496358237800443,1.0,-0.3640481798648703,2
2024,lat_36_11249,-2.8035553859912135,2.0,-0.3650688909684962,2
2023,lat_36_11698,-4.605170185988091,1.0,-0.35510328252815215,2
2024,lat_36_11698,-4.004044632110705,2.0,-0.3557619802379883,2
2022,lat_36_07649,-1.7248053085867976,1.0,-0.28857082214637575,3
2023,lat_36_07649,-4.442082308595242,2.0,-0.2859551265477027,3
2024,lat_36_07649,-4.394155471828453,3.0,-0.28873794971469724,3
2022,lat_36_08099,-1.728399079468159,1.0,-0.32565470148174863,3
2023,lat_36_08099,-4.504645830575255,2.0,-0.32349304374399024,3
2024,lat_36_08099,-4.591911314967573,3.0,-0.32477615353317313,3
2022,lat_36_08549,-1.1929081182347607,1.0,-0.37900935691278803,3
2023,lat_36_08549,-4.290162188035178,2.0,-0.37736886454781776,3
2024,lat_36_08549,-4.570638202445716,3.0,-0.37847210258148817,3
2022,lat_36_08999,-3.9056189665983982,1.0,-0.5373165074704811,3
2023,lat_36_08999,-4.22999702779643,2.0,-0.5334328020107154,3
2024,lat_36_08999,-2.35061012151384,3.0,-0.5337667858023032,3
2022,lat_36_09449,-2.8562656756034253,1.0,-0.674618463855414,3
2023,lat_36_09449,-4.492649052801522,2.0,-0.6705129781260231,3
2024,lat_36_09449,-4.131525879912678,3.0,-0.6727011292888172,3
2022,lat_36_09899,-3.947217868200645,1.0,-0.3622529100312466,3
2023,lat_36_09899,-3.933099084921099,2.0,-0.35804708779965116,3
2024,lat_36_09899,-2.83589196644073,3.0,-0.35998776197897275,3
2022,lat_36_10349,-1.4573428428085486,1.0,-0.29607285714327025,3
2023,lat_36_10349,-1.8232250088059292,2.0,-0.29294637212448,3
2024,lat_36_10349,-1.4747877520406367,3.0,-0.2955311716189203,3
2022,lat_36_10799,-1.7635637092174457,1.0,-0.33160843469860984,3
2023,lat_36_10799,-2.3729764004840987,2.0,-0.32852138563257177,3
2024,lat_36_10799,-2.1482707752286765,3.0,-0.33022752922519144,3
2022,lat_36_11249,-1.3905000356666306,1.0,-0.34136818514463785,3
2023,lat_36_11249,-2.3496358237800443,2.0,-0.3383774865137476,3
2024,lat_36_11249,-2.8035553859912135,3.0,-0.34006567135219656,3
2022,lat_36_11698,-2.7931933374976934,1.0,-0.33577822002717067,3
2023,lat_36_11698,-4.605170185988091,2.0,-0.331567665091515,3
2024,lat_36_11698,-4.004044632110705,3.0,-0.3343244037155364,3
2021,lat_36_07649,-1.973023066800013,1.0,-0.23783945726499506,4
2022,lat_36_07649,-1.7248053085867976,2.0,-0.23811423496223452,4
2023,lat_36_07649,-4.442082308595242,3.0,-0.23771097383827722,4
2024,lat_36_07649,-4.394155471828453,4.0,-0.23891648165138538,4
2021,lat_36_08099,-2.0576585315268705,1.0,-0.26837410898114067,4
