year,variable,testing,horizon,forecast,fold
2024,lat_36_08549,-4.570638202445716,1.0,-2.6064459483361375,1
2024,lat_36_08999,-2.35061012151384,1.0,-3.850493206622388,1
2024,lat_36_09449,-4.131525879912678,1.0,-3.4584252237230726,1
2024,lat_36_09899,-2.83589196644073,1.0,-3.705483906528616,1
2024,lat_36_10349,-1.4747877520406367,1.0,-1.80504688302254,1
2024,lat_36_10799,-2.1482707752286765,1.0,-2.261369728098228,1
2024,lat_36_11249,-2.8035553859912135,1.0,-2.1204360608726294,1
2024,lat_36_11698,-4.004044632110705,1.0,-3.3739633712987565,1
2024,lat_36_12148,-4.329941574607597,1.0,-3.1916077465565604,1
2024,lat_36_12598,-3.852776147384812,1.0,-3.1251652033574784,1
2024,lat_36_13048,-4.13453748503702,1.0,-3.709840571218123,1
2023,lat_36_08549,-4.290162188035178,1.0,-1.2418322948909803,2
2024,lat_36_08549,-4.570638202445716,2.0,-1.2521420074044065,2
2023,lat_36_08999,-4.22999702779643,1.0,-3.42752442564138,2
2024,lat_36_08999,-2.35061012151384,2.0,-3.4641330849088203,2
2023,lat_36_09449,-4.492649052801522,1.0,-2.533978191962213,2
2024,lat_36_09449,-4.131525879912678,2.0,-2.5274095237751752,2
2023,lat_36_09899,-3.933099084921099,1.0,-3.324602427692417,2
2024,lat_36_09899,-2.83589196644073,2.0,-3.3761162256917774,2
2023,lat_36_10349,-1.8232250088059292,1.0,-1.659327355142613,2
2024,lat_36_10349,-1.4747877520406367,2.0,-1.6851148483933882,2
2023,lat_36_10799,-2.3729764004840987,1.0,-2.0343323456306424,2
2024,lat_36_10799,-2.1482707752286765,2.0,-2.0614734006625555,2
2023,lat_36_11249,-2.3496358237800443,1.0,-1.8112691735246833,2
2024,lat_36_11249,-2.8035553859912135,2.0,-1.835934644851772,2
2023,lat_36_11698,-4.605170185988091,1.0,-2.318657925311738,2
2024,lat_36_11698,-4.004044632110705,2.0,-2.311724821648835,2
2023,lat_36_12148,-4.498476789270406,1.0,-2.040598680105797,2
2024,lat_36_12148,-4.329941574607597,2.0,-2.064269432894707,2
2023,lat_36_12598,-4.261077997597968,1.0,-2.127990352366962,2
2024,lat_36_12598,-3.852776147384812,2.0,-2.154310849354358,2
2023,lat_36_13048,-4.252929512739863,1.0,-3.1681508502635487,2
2024,lat_36_13048,-4.13453748503702,2.0,-3.181574191099292,2
2022,lat_36_08549,-1.1929081182347607,1.0,-1.2616201167540941,3
2023,lat_36_08549,-4.290162188035178,2.0,-1.2731500833301101,3
2024,lat_36_08549,-4.570638202445716,3.0,-1.2846422965373345,3
2022,lat_36_08999,-3.9056189665983982,1.0,-3.04823857066903,3
2023,lat_36_08999,-4.22999702779643,2.0,-3.0773520722343393,3
2024,lat_36_08999,-2.35061012151384,3.0,-3.1057658873492633,3
2022,lat_36_09449,-2.8562656756034253,1.0,-2.341411566863997,3
2023,lat_36_09449,-4.492649052801522,2.0,-2.3322508747709425,3
2024,lat_36_09449,-4.131525879912678,3.0,-2.3231005947692567,3
2022,lat_36_09899,-3.947217868200645,1.0,-2.818882769118357,3
2023,lat_36_09899,-3.933099084921099,2.0,-2.8592200636832312,3
2024,lat_36_09899,-2.83589196644073,3.0,-2.8978143960614027,3
2022,lat_36_10349,-1.4573428428085486,1.0,-1.7640140855452007,3
2023,lat_36_10349,-1.8232250088059292,2.0,-1.7943845664197615,3
2024,lat_36_10349,-1.4747877520406367,3.0,-1.823000758611223,3
2022,lat_36_10799,-1.7635637092174457,1.0,-2.18081348747536,3
2023,lat_36_10799,-2.3729764004840987,2.0,-2.2136769601814024,3
2024,lat_36_10799,-2.1482707752286765,3.0,-2.2450347337814476,3
2022,lat_36_11249,-1.3905000356666306,1.0,-2.060527644902302,3
2023,lat_36_11249,-2.3496358237800443,2.0,-2.0934996559974555,3
2024,lat_36_11249,-2.8035553859912135,3.0,-2.124827254903925,3
2022,lat_36_11698,-2.7931933374976934,1.0,-2.049699462303021,3
2023,lat_36_11698,-4.605170185988091,2.0,-2.040131141046523,3
2024,lat_36_11698,-4.004044632110705,3.0,-2.0305773821460775,3
2022,lat_36_12148,-2.014888701031007,1.0,-2.018080970971593,3
2023,lat_36_12148,-4.498476789270406,2.0,-2.0423598745441347,3
2024,lat_36_12148,-4.329941574607597,3.0,-2.065850996184762,3
2022,lat_36_12598,-1.786417682123372,1.0,-2.3048611117916282,3
2023,lat_36_12598,-4.261077997597968,2.0,-2.3364724410832807,3
2024,lat_36_12598,-3.852776147384812,3.0,-2.366872111758551,3
2022,lat_36_13048,-2.919342556067837,1.0,-3.3089148482403483,3
2023,lat_36_13048,-4.252929512739863,2.0,-3.3276059076622686,3
2024,lat_36_13048,-4.13453748503702,3.0,-3.3460088146022255,3
