year,variable,testing,horizon,forecast,fold
2024,lat_36_08549,-4.570638202445716,1.0,-3.9646400776727546,1
2024,lat_36_08999,-2.35061012151384,1.0,-4.531227421177837,1
2024,lat_36_09449,-4.131525879912678,1.0,-5.0802143110635205,1
2024,lat_36_09899,-2.83589196644073,1.0,-4.512990832614905,1
2024,lat_36_10349,-1.4747877520406367,1.0,-1.5995892353552446,1
2024,lat_36_10799,-2.1482707752286765,1.0,-3.147872053616876,1
2024,lat_36_11249,-2.8035553859912135,1.0,-1.9357047081385295,1
2024,lat_36_11698,-4.004044632110705,1.0,-4.663130339974278,1
2024,lat_36_12148,-4.329941574607597,1.0,-4.546426868481117,1
2024,lat_36_12598,-3.852776147384812,1.0,-3.9539319148174057,1
2024,lat_36_13048,-4.13453748503702,1.0,-4.394526145275363,1
2023,lat_36_08549,-4.290162188035178,1.0,-1.0977774384026218,2
2024,lat_36_08549,-4.570638202445716,2.0,-1.0737740818631163,2
2023,lat_36_08999,-4.22999702779643,1.0,-3.1512678922948436,2
2024,lat_36_08999,-2.35061012151384,2.0,-3.1437560756394296,2
2023,lat_36_09449,-4.492649052801522,1.0,-1.867185599537305,2
2024,lat_36_09449,-4.131525879912678,2.0,-1.2803760606328072,2
2023,lat_36_09899,-3.933099084921099,1.0,-4.024291991843935,2
2024,lat_36_09899,-2.83589196644073,2.0,-4.322714645680412,2
2023,lat_36_10349,-1.8232250088059292,1.0,-1.6238621687239494,2
2024,lat_36_10349,-1.4747877520406367,2.0,-1.4163383427857417,2
2023,lat_36_10799,-2.3729764004840987,1.0,-2.5563949674199735,2
2024,lat_36_10799,-2.1482707752286765,2.0,-2.751411584606557,2
2023,lat_36_11249,-2.3496358237800443,1.0,-1.3673519689300693,2
2024,lat_36_11249,-2.8035553859912135,2.0,-1.0833383225813227,2
2023,lat_36_11698,-4.605170185988091,1.0,-2.6767200807789457,2
2024,lat_36_11698,-4.004044632110705,2.0,-2.86214842253896,2
2023,lat_36_12148,-4.498476789270406,1.0,-2.696671319476064,2
2024,lat_36_12148,-4.329941574607597,2.0,-2.8931474380872535,2
2023,lat_36_12598,-4.261077997597968,1.0,-1.4189202200036106,2
